min,first-quarter,median,third-quarter,max
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.143911439
0,0,0,0.2,0.2
0,0,0,0.923636364,0.923636364
0,0,0,0,0
0,0,0,0.5,0.5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0.138211382,0.365853659
0,0,0,0.858064516,0.858064516
0,0,0,0.037878788,0.037878788
0,0,0,0,0
0,0,0,0,0
0,0,0,0.046979866,0.046979866
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0.183486239,0.19266055
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.204918033
0,0,0,0,0
0,0,0,0,0
0,0,0,0.153846154,0.153846154
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0.093457944,0.093457944
0.016129032,0.016129032,0.016129032,0.056451613,0.056451613
0.016806723,0.016806723,0.016806723,0.016806723,0.134453782
0.020576132,0.020576132,0.020576132,0.090534979,0.156378601
0.023255814,0.023255814,0.023255814,0.088372093,0.325581395
0.028368794,0.028368794,0.028368794,0.113475177,0.120567376
0.029411765,0.029411765,0.029411765,0.040441176,0.106617647
0.029411765,0.029411765,0.029411765,0.147058824,0.205882353
0.030769231,0.030769231,0.030769231,0.030769231,0.030769231
0.037313433,0.037313433,0.037313433,0.037313433,0.037313433
0.037313433,0.037313433,0.037313433,0.037313433,0.037313433
0.047169811,0.047169811,0.047169811,0.047169811,0.047169811
0.047904192,0.047904192,0.047904192,0.05988024,0.832335329
0.050955414,0.050955414,0.050955414,0.050955414,0.808917197
0.057692308,0.057692308,0.057692308,0.557692308,0.557692308
0.060344828,0.060344828,0.060344828,0.112068966,0.163793103
0.061728395,0.061728395,0.061728395,0.061728395,0.061728395
0.081761006,0.081761006,0.081761006,0.421383648,0.421383648
0.029411765,0.029411765,0.088235294,0.147058824,0.205882353
0.088607595,0.088607595,0.088607595,0.107594937,0.221518987
0.09,0.09,0.09,0.09,0.09
0.102272727,0.102272727,0.102272727,0.102272727,0.102272727
0.060344828,0.060344828,0.103448276,0.112068966,0.163793103
0.111445783,0.111445783,0.111445783,0.111445783,0.15060241
0.113821138,0.113821138,0.113821138,0.113821138,0.18699187
0.115288221,0.115288221,0.115288221,0.937343358,0.937343358
0.136,0.136,0.136,0.208,0.208
0.141078838,0.141078838,0.141078838,0.190871369,0.195020747
0.143478261,0.143478261,0.143478261,0.895652174,0.904347826
0.152671756,0.152671756,0.152671756,0.152671756,0.152671756
0.15727003,0.15727003,0.15727003,0.207715134,0.326409496
0.168478261,0.168478261,0.168478261,0.190217391,0.190217391
0.168478261,0.168478261,0.168478261,0.190217391,0.190217391
0.175,0.175,0.175,0.175,0.175
0.184501845,0.184501845,0.184501845,0.184501845,0.247232472
0.196551724,0.196551724,0.196551724,0.227586207,0.227586207
0.234234234,0.234234234,0.234234234,0.306306306,0.306306306
0.239263804,0.239263804,0.239263804,0.306748466,0.472392638
0.244274809,0.244274809,0.244274809,0.270992366,0.309160305
0.269230769,0.269230769,0.269230769,0.307692308,0.323076923
0.282758621,0.282758621,0.282758621,0.648275862,0.648275862
0.299145299,0.299145299,0.299145299,0.299145299,0.341880342
0.299145299,0.299145299,0.299145299,0.299145299,0.367521368
0.302083333,0.302083333,0.302083333,0.333333333,0.368055556
0.303703704,0.303703704,0.303703704,0.32962963,0.32962963
0.306930693,0.306930693,0.306930693,0.366336634,0.366336634
0.319796954,0.319796954,0.319796954,0.365482234,0.365482234
0.327027027,0.327027027,0.327027027,0.367567568,0.381081081
0.328703704,0.328703704,0.328703704,0.412037037,0.421296296
0.332080201,0.332080201,0.332080201,0.494987469,0.932330827
0.339130435,0.339130435,0.339130435,0.852173913,0.852173913
0.342342342,0.342342342,0.342342342,0.405405405,0.405405405
0.348101266,0.348101266,0.348101266,0.436708861,0.481012658
0.357142857,0.357142857,0.357142857,0.404761905,0.404761905
0.362711864,0.362711864,0.362711864,0.366101695,0.461016949
0.368308351,0.368308351,0.368308351,0.368308351,0.394004283
0.375816993,0.375816993,0.375816993,0.532679739,0.532679739
0.376237624,0.376237624,0.376237624,0.386138614,0.386138614
0.386554622,0.386554622,0.386554622,0.445378151,0.445378151
0.386554622,0.386554622,0.386554622,0.445378151,0.445378151
0.387323944,0.387323944,0.387323944,0.86971831,0.86971831
0.392307692,0.392307692,0.392307692,0.592307692,0.592307692
0.397887324,0.397887324,0.397887324,0.475352113,0.503521127
0.4,0.4,0.4,0.4,0.433333333
0.417475728,0.417475728,0.417475728,0.436893204,0.436893204
0.435483871,0.435483871,0.435483871,0.451612903,0.451612903
0.438679245,0.438679245,0.438679245,0.476415094,0.929245283
0.438679245,0.438679245,0.438679245,0.485849057,0.929245283
0.44765343,0.44765343,0.44765343,0.472924188,0.501805054
0.463235294,0.463235294,0.463235294,0.463235294,0.463235294
0.473846154,0.473846154,0.473846154,0.510769231,0.544615385
0.473846154,0.473846154,0.473846154,0.510769231,0.544615385
0.475806452,0.475806452,0.475806452,0.483870968,0.483870968
0.478632479,0.478632479,0.478632479,0.52991453,0.52991453
0.496644295,0.496644295,0.5,0.503355705,0.536912752
0.503937008,0.503937008,0.503937008,0.503937008,0.503937008
0.504672897,0.504672897,0.504672897,0.504672897,0.761682243
0.473684211,0.473684211,0.511278195,0.511278195,0.511278195
0.473684211,0.473684211,0.511278195,0.511278195,0.511278195
0.466431095,0.466431095,0.519434629,0.614840989,0.614840989
0.522123894,0.522123894,0.522123894,0.637168142,0.637168142
0.53030303,0.53030303,0.53030303,0.53030303,0.53030303
