rank,index,type,%bug,%reducedCost,F1,y=0.9,y=0.3,x1,x2,y
1,3,3,0.844129555,0.538461538,0.439060045,0.9,0.3,3,6,0
2,4,4,0.870833333,0.515537541,0.49650409,0.9,0.3,3,6,0.05
3,5,5,0.884615385,0.461538462,0.507741017,0.9,0.3,3,6,0.1
4,6,6,0.924501425,0.423523573,0.499766137,0.9,0.3,3,6,0.15
5,7,7,0.927248677,0.387958649,0.455946213,0.9,0.3,3,6,0.2
6,8,8,0.942810458,0.361910594,0.466119714,0.9,0.3,3,6,0.25
7,9,9,0.944444444,0.303846154,0.429205539,0.9,0.3,3,6,0.3
8,10,10,0.961538462,0.230769231,0.363912232,0.9,0.3,3,6,0.35
9,11,11,0.977502528,0.206696387,0.336507937,0.9,0.3,3,6,0.4
10,12,12,0.977502528,0.19784711,0.326332435,0.9,0.3,3,6,0.45
11,13,13,0.984132934,0.156342183,0.26951938,0.9,0.3,3,6,0.5
12,14,14,0.978492137,0.1225,0.218253968,0.9,0.3,3,6,0.55
13,15,15,0.992753623,0.102564103,0.184841227,0.9,0.3,3,6,0.6
14,16,16,1,0.097105045,0.176693102,0.9,0.3,3,6,0.65
15,17,17,1,0.099242424,0.180564263,0.9,0.3,3,6,0.7
16,18,18,0.977502528,0.088607595,0.162790698,0.9,0.3,3,6,0.75
17,19,19,0.966091954,0.080645161,0.148884291,0.9,0.3,3,6,0.8
18,20,20,0.962962963,0.090909091,0.166666667,0.9,0.3,3,6,0.85
19,21,21,0.95,0.095384615,0.173341393,0.9,0.3,3,6,0.9
20,22,22,0.95,0.101505909,0.182910488,0.9,0.3,3,6,0.95
21,23,23,0.951190476,0.1015625,0.180713652,0.9,0.3,3,6,1
22,24,24,0.952380952,0.086956522,0.159489633,0.9,0.3,3,6,1.05
23,25,25,0.947368421,0.080882353,0.149001727,0.9,0.3,3,6,1.1
24,26,26,0.944444444,0.094337715,0.148582445,0.9,0.3,3,6,1.15
25,27,27,0.9375,0.094465899,0.142135642,0.9,0.3,3,6,1.2
26,28,28,0.936491935,0.090580899,0.125,0.9,0.3,3,6,1.25
27,29,29,0.931034483,0.098132348,0.114653595,0.9,0.3,3,6,1.3
28,30,30,0.921538462,0.090909091,0.098773671,0.9,0.3,3,6,1.35
29,31,31,0.9,0.109284703,0.105769231,0.9,0.3,3,6,1.4
30,32,32,0.923076923,0.106560998,0.072347947,0.9,0.3,3,6,1.45
