rank,index,type,%bug,%reducedCost,F1,y=0.9,y=0.3,x1,x2,y
1,30,3,0.571428571,0.812261072,0.563585356,0.9,0.3,8,15,0
2,32,3.2,0.714285714,0.724848924,0.599212966,0.9,0.3,8,15,0.05
3,34,3.4,0.724747475,0.709508882,0.595744681,0.9,0.3,8,15,0.1
4,36,3.6,0.781746032,0.667892157,0.591697704,0.9,0.3,8,15,0.15
5,38,3.8,0.814814815,0.6640625,0.577752524,0.9,0.3,8,15,0.2
6,40,4,0.814814815,0.6640625,0.576597132,0.9,0.3,8,15,0.25
7,42,4.2,0.875,0.582857143,0.585565646,0.9,0.3,8,15,0.3
8,44,4.4,0.875,0.581081081,0.581557044,0.9,0.3,8,15,0.35
9,46,4.6,0.89608637,0.549618321,0.576759554,0.9,0.3,8,15,0.4
10,48,4.8,0.898212898,0.54174216,0.576597132,0.9,0.3,8,15,0.45
11,50,5,0.899494949,0.537142857,0.576597132,0.9,0.3,8,15,0.5
12,52,5.2,0.944444444,0.464833195,0.504873134,0.9,0.3,8,15,0.55
13,54,5.4,0.945906433,0.443166337,0.502757161,0.9,0.3,8,15,0.6
14,56,5.6,0.96969697,0.380798771,0.463995453,0.9,0.3,8,15,0.65
15,58,5.8,0.971008403,0.350997225,0.46153409,0.9,0.3,8,15,0.7
16,60,6,0.971825397,0.350997225,0.460488671,0.9,0.3,8,15,0.75
17,62,6.2,1,0.277698368,0.421770224,0.9,0.3,8,15,0.8
18,64,6.4,1,0.264264602,0.402659069,0.9,0.3,8,15,0.85
19,66,6.6,1,0.216853826,0.345093329,0.9,0.3,8,15,0.9
20,68,6.8,1,0.206625016,0.306340718,0.9,0.3,8,15,0.95
21,70,7,1,0.206625016,0.306340718,0.9,0.3,8,15,1
22,72,7.2,1,0.159378024,0.274769917,0.9,0.3,8,15,1.05
23,74,7.4,1,0.141221374,0.247491639,0.9,0.3,8,15,1.1
24,76,7.6,1,0.100900372,0.183301034,0.9,0.3,8,15,1.15
25,78,7.8,1,0.089120967,0.163595266,0.9,0.3,8,15,1.2
26,80,8,1,0.084181098,0.155258985,0.9,0.3,8,15,1.25
27,82,8.2,1,0.023958113,0.046711057,0.9,0.3,8,15,1.3
28,84,8.4,1,0.023958113,0.046711057,0.9,0.3,8,15,1.35
29,86,8.6,1,0.018144499,0.035640741,0.9,0.3,8,15,1.4
30,88,8.8,1,0.017241379,0.033898305,0.9,0.3,8,15,1.45
