rank,index,type,%bug,%reducedCost,F1,y=0.9,y=0.3,x1,x2,y
1,3,3,0.136363636,0.922828784,0.234728,0.9,0.3,,,
2,4,4,0.168699187,0.897105045,0.283784618,0.9,0.3,,,
3,5,5,0.214285714,0.873417722,0.341972624,0.9,0.3,,,
4,6,6,0.25,0.847617512,0.383584861,0.9,0.3,,,
5,7,7,0.290994624,0.822220431,0.428662016,0.9,0.3,,,
6,8,8,0.333333333,0.797468354,0.460974681,0.9,0.3,,,
7,9,9,0.355042017,0.774991211,0.483610292,0.9,0.3,,,
8,10,10,0.396428571,0.756015918,0.51688782,0.9,0.3,,,
9,11,11,0.434782609,0.73161751,0.542618933,0.9,0.3,,,
10,12,12,0.453079179,0.715110955,0.544079015,0.9,0.3,,,
11,13,13,0.472136223,0.691370201,0.553240957,0.9,0.3,,,
12,14,14,0.5,0.667629447,0.561973762,0.9,0.3,,,
13,15,15,0.518064516,0.647058824,0.553399178,0.9,0.3,,,
14,16,16,0.55,0.625718194,0.543078224,0.9,0.3,,,
15,17,17,0.577935223,0.602325581,0.547427628,0.9,0.3,,,
16,18,18,0.592592593,0.578932969,0.541001054,0.9,0.3,,,
17,19,19,0.6,0.555540356,0.540542821,0.9,0.3,,,
18,20,20,0.607919255,0.532147743,0.532167898,0.9,0.3,,,
19,21,21,0.632996633,0.513039387,0.517854585,0.9,0.3,,,
20,22,22,0.661458333,0.489850786,0.519956943,0.9,0.3,,,
21,23,23,0.666666667,0.466662186,0.505724302,0.9,0.3,,,
22,24,24,0.689903846,0.443473585,0.506090764,0.9,0.3,,,
23,25,25,0.724747475,0.420284985,0.490936293,0.9,0.3,,,
24,26,26,0.692307692,0.439349026,0.485188875,0.9,0.3,,,
25,27,27,0.680909091,0.446153846,0.460545259,0.9,0.3,,,
26,28,28,0.683014354,0.431472081,0.454764689,0.9,0.3,,,
27,29,29,0.6875,0.46171404,0.441867167,0.9,0.3,,,
28,30,30,0.666666667,0.499991319,0.420792079,0.9,0.3,,,
29,31,31,0.65625,0.519314852,0.407649254,0.9,0.3,,,
30,32,32,0.666666667,0.522361459,0.38036225,0.9,0.3,,,
