rank,index,type,%bug,%reducedCost,F1,y=0.9,y=0.3,x1,x2,y
1,3,3,1,0.047058824,0.069230317,0.9,0.3,,,
2,4,4,1,0.034482759,0.06658749,0.9,0.3,,,
3,5,5,1,0.02948848,0.057287394,0.9,0.3,,,
4,6,6,1,0.037951894,0.070422535,0.9,0.3,,,
5,7,7,1,0.038167939,0.073529412,0.9,0.3,,,
6,8,8,1,0.04,0.076782131,0.9,0.3,,,
7,9,9,1,0.040609137,0.07804878,0.9,0.3,,,
8,10,10,1,0.039774011,0.076505017,0.9,0.3,,,
9,11,11,1,0.047431571,0.090567327,0.9,0.3,,,
10,12,12,1,0.046091759,0.088038231,0.9,0.3,,,
11,13,13,1,0.056451613,0.106870229,0.9,0.3,,,
12,14,14,1,0.048,0.091603053,0.9,0.3,,,
13,15,15,1,0.057983193,0.109390022,0.9,0.3,,,
14,16,16,1,0.052807646,0.099978895,0.9,0.3,,,
15,17,17,1,0.055555556,0.105263158,0.9,0.3,,,
16,18,18,1,0.068965517,0.128008193,0.9,0.3,,,
17,19,19,0.984132934,0.057251908,0.108303249,0.9,0.3,,,
18,20,20,0.970588235,0.060887263,0.114614893,0.9,0.3,,,
19,21,21,0.957427536,0.058458327,0.110366575,0.9,0.3,,,
20,22,22,0.961901306,0.066352201,0.124344275,0.9,0.3,,,
21,23,23,0.96,0.073203074,0.135039755,0.9,0.3,,,
22,24,24,0.956521739,0.067961165,0.126652749,0.9,0.3,,,
23,25,25,0.954545455,0.071920758,0.133014001,0.9,0.3,,,
24,26,26,0.947368421,0.076142132,0.119217007,0.9,0.3,,,
25,27,27,0.944444444,0.077485929,0.1262451,0.9,0.3,,,
26,28,28,0.9375,0.081967213,0.116327122,0.9,0.3,,,
27,29,29,0.9375,0.082278481,0.11092503,0.9,0.3,,,
28,30,30,0.925925926,0.086294416,0.094393659,0.9,0.3,,,
29,31,31,0.911067194,0.093419385,0.10162167,0.9,0.3,,,
30,32,32,0.919871795,0.100051714,0.071913613,0.9,0.3,,,
