 ,  ,number
M0-80%,%bug,0.777777778
M0-80%,%reducedCost,0.746478873
M0-80%,F1,0.761806982
M0-80%,%bug,0.764705882
M0-80%,%reducedCost,0.666666667
M0-80%,F1,0.712328767
M0-80%,%bug,0.814814815
M0-80%,%reducedCost,0.713004484
M0-80%,F1,0.760517448
M0-80%,%bug,0.857142857
M0-80%,%reducedCost,0.689320388
M0-80%,F1,0.764125561
M0-80%,%bug,0.75
M0-80%,%reducedCost,0.770114943
M0-80%,F1,0.759924386
M0-80%,%bug,0.617647059
M0-80%,%reducedCost,0.735294118
M0-80%,F1,0.671355499
M0-80%,%bug,0.333333333
M0-80%,%reducedCost,0.794871795
M0-80%,F1,0.46969697
M0-80%,%bug,0.666666667
M0-80%,%reducedCost,0.701244813
M0-80%,F1,0.683518706
M0-80%,%bug,0.5
M0-80%,%reducedCost,0.731092437
M0-80%,F1,0.593856655
M0-80%,%bug,0.625
M0-80%,%reducedCost,0.728813559
M0-80%,F1,0.672926448
M0-80%,%bug,0.647058824
M0-80%,%reducedCost,0.663865546
M0-80%,F1,0.655354449
M0-80%,%bug,0.411764706
M0-80%,%reducedCost,0.796178344
M0-80%,F1,0.54280397
M0-80%,%bug,0.357142857
M0-80%,%reducedCost,0.881305638
M0-80%,F1,0.508300531
M0-80%,%bug,0.888888889
M0-80%,%reducedCost,0.652173913
M0-80%,F1,0.752351097
M0-80%,%bug,0.4
M0-80%,%reducedCost,0.791304348
M0-80%,F1,0.531386861
M0-80%,%bug,0.525
M0-80%,%reducedCost,0.877300613
M0-80%,F1,0.656895986
M0-80%,%bug,0.6875
M0-80%,%reducedCost,0.794871795
M0-80%,F1,0.737297297
M0-80%,%bug,0.40625
M0-80%,%reducedCost,0.822878229
M0-80%,F1,0.543953467
M0-80%,%bug,0.642857143
M0-80%,%reducedCost,0.652173913
M0-80%,F1,0.647482014
M0-80%,%bug,0.842105263
M0-80%,%reducedCost,0.705882353
M0-80%,F1,0.768
M0-80%,%bug,0.8
M0-80%,%reducedCost,0.773049645
M0-80%,F1,0.786293959
M0-80%,%bug,0.75
M0-80%,%reducedCost,0.78280543
M0-80%,F1,0.766051661
M0-80%,%bug,0.3
M0-80%,%reducedCost,0.901234568
M0-80%,F1,0.450154162
M0-80%,%bug,0.458333333
M0-80%,%reducedCost,0.851162791
M0-80%,F1,0.59582655
M0-80%,%bug,0.52173913
M0-80%,%reducedCost,0.815028902
M0-80%,F1,0.636209814
M0-80%,%bug,0.944444444
M0-80%,%reducedCost,0.507692308
M0-80%,F1,0.660388464
M0-80%,%bug,0.555555556
M0-80%,%reducedCost,0.748031496
M0-80%,F1,0.637583893
M0-80%,%bug,0.772727273
M0-80%,%reducedCost,0.741935484
M0-80%,F1,0.757018393
M0-80%,%bug,0.451612903
M0-80%,%reducedCost,0.841269841
M0-80%,F1,0.587722772
M0-80%,%bug,0.529411765
M0-80%,%reducedCost,0.801652893
M0-80%,F1,0.637691746
M0-80%,%bug,0.5
M0-80%,%reducedCost,0.825454545
M0-80%,F1,0.622770919
M0-80%,%bug,0.585365854
M0-80%,%reducedCost,0.78313253
M0-80%,F1,0.669959201
M0-80%,%bug,0.653846154
M0-80%,%reducedCost,0.698924731
M0-80%,F1,0.675634363
M0-80%,%bug,0.826086957
M0-80%,%reducedCost,0.701863354
M0-80%,F1,0.758925415
M0-80%,%bug,0.696969697
M0-80%,%reducedCost,0.741007194
M0-80%,F1,0.71831413
M0-80%,%bug,0.761904762
M0-80%,%reducedCost,0.696202532
M0-80%,F1,0.727573377
M0-80%,%bug,0.64516129
M0-80%,%reducedCost,0.733333333
M0-80%,F1,0.686427457
M0-80%,%bug,0.254901961
M0-80%,%reducedCost,0.941747573
M0-80%,F1,0.401209036
M0-80%,%bug,0.304347826
M0-80%,%reducedCost,0.866666667
M0-80%,F1,0.45049505
M0-80%,%bug,0.475
M0-80%,%reducedCost,0.877300613
M0-80%,F1,0.616309402
M0-80%,%bug,0.685714286
M0-80%,%reducedCost,0.802816901
M0-80%,F1,0.739659367
M0-80%,%bug,0.625
M0-80%,%reducedCost,0.677419355
M0-80%,F1,0.650154799
M0-80%,%bug,0.80952381
M0-80%,%reducedCost,0.624161074
M0-80%,F1,0.704859563
M0-80%,%bug,0.441176471
M0-80%,%reducedCost,0.724137931
M0-80%,F1,0.548302872
M0-80%,%bug,0.461538462
M0-80%,%reducedCost,0.854545455
M0-80%,F1,0.59936238
M0-80%,%bug,0.454545455
M0-80%,%reducedCost,0.856287425
M0-80%,F1,0.593853821
M0-80%,%bug,0.8125
M0-80%,%reducedCost,0.658119658
M0-80%,F1,0.727206684
M0-80%,%bug,0.575757576
M0-80%,%reducedCost,0.793357934
M0-80%,F1,0.667265599
M0-80%,%bug,0.470588235
M0-80%,%reducedCost,0.806451613
M0-80%,F1,0.59435364
M0-80%,%bug,0.818181818
M0-80%,%reducedCost,0.696202532
M0-80%,F1,0.752279635
M0-80%,%bug,0.571428571
M0-80%,%reducedCost,0.833910035
M0-80%,F1,0.678156877
M0-80%,%bug,0.4
M0-80%,%reducedCost,0.888888889
M0-80%,F1,0.551724138
M0-80%,%bug,0.43902439
M0-80%,%reducedCost,0.878787879
M0-80%,F1,0.585530006
M0-80%,%bug,0.093023256
M0-80%,%reducedCost,0.930232558
M0-80%,F1,0.169133192
M0-80%,%bug,0.666666667
M0-80%,%reducedCost,0.789473684
M0-80%,F1,0.722891566
M0-80%,%bug,0.189189189
M0-80%,%reducedCost,0.899053628
M0-80%,F1,0.312597932
M0-80%,%bug,0.709677419
M0-80%,%reducedCost,0.755725191
M0-80%,F1,0.731977819
M0-80%,%bug,0.605263158
M0-80%,%reducedCost,0.843137255
M0-80%,F1,0.704666904
M0-80%,%bug,0.472222222
M0-80%,%reducedCost,0.86440678
M0-80%,F1,0.610778443
M0-80%,%bug,0.534482759
M0-80%,%reducedCost,0.83014862
M0-80%,F1,0.650285684
M0-80%,%bug,0.125
M0-80%,%reducedCost,0.944055944
M0-80%,F1,0.220768602
M0-80%,%bug,0.259259259
M0-80%,%reducedCost,0.944444444
M0-80%,F1,0.406837607
M0-80%,%bug,0.561403509
M0-80%,%reducedCost,0.879049676
M0-80%,F1,0.685203209
M0-80%,%bug,0.857142857
M0-80%,%reducedCost,0.683168317
M0-80%,F1,0.760330579
M0-80%,%bug,0.733333333
M0-80%,%reducedCost,0.63963964
M0-80%,F1,0.683289589
M0-80%,%bug,0.54
M0-80%,%reducedCost,0.900990099
M0-80%,F1,0.675278274
M0-80%,%bug,0.588235294
M0-80%,%reducedCost,0.846153846
M0-80%,F1,0.694006309
M0-80%,%bug,0.30952381
M0-80%,%reducedCost,0.92920354
M0-80%,F1,0.464364688
M0-80%,%bug,0.30952381
M0-80%,%reducedCost,0.92920354
M0-80%,F1,0.464364688
M0-80%,%bug,0.647058824
M0-80%,%reducedCost,0.830388693
M0-80%,F1,0.727349465
M0-80%,%bug,0.444444444
M0-80%,%reducedCost,0.861111111
M0-80%,F1,0.586288416
M0-80%,%bug,0.714285714
M0-80%,%reducedCost,0.766990291
M0-80%,F1,0.739700375
M0-80%,%bug,0.714285714
M0-80%,%reducedCost,0.766990291
M0-80%,F1,0.739700375
M0-80%,%bug,0.313131313
M0-80%,%reducedCost,0.949874687
M0-80%,F1,0.470996192
M0-80%,%bug,0.411764706
M0-80%,%reducedCost,0.894736842
M0-80%,F1,0.563981043
M0-80%,%bug,0.333333333
M0-80%,%reducedCost,0.918987342
M0-80%,F1,0.489218329
M0-80%,%bug,0.320754717
M0-80%,%reducedCost,0.906103286
M0-80%,F1,0.473790614
M0-80%,%bug,0.320754717
M0-80%,%reducedCost,0.906103286
M0-80%,F1,0.473790614
M0-80%,%bug,0.769230769
M0-80%,%reducedCost,0.729230769
M0-80%,F1,0.748696888
M0-80%,%bug,0.769230769
M0-80%,%reducedCost,0.729230769
M0-80%,F1,0.748696888
M0-80%,%bug,0.535714286
M0-80%,%reducedCost,0.803278689
M0-80%,F1,0.642763446
M0-80%,%bug,0.535714286
M0-80%,%reducedCost,0.803278689
M0-80%,F1,0.642763446
M0-80%,%bug,0.555555556
M0-80%,%reducedCost,0.852534562
M0-80%,F1,0.672727273
M0-80%,%bug,0.555555556
M0-80%,%reducedCost,0.852534562
M0-80%,F1,0.672727273
M0-80%,%bug,0.782608696
M0-80%,%reducedCost,0.725714286
M0-80%,F1,0.753088453
M0-80%,%bug,0.782608696
M0-80%,%reducedCost,0.725714286
M0-80%,F1,0.753088453
