rank,index,type,%bug,%reducedCost,F1,y=0.9,y=0.3,x1,x2,y
1,13,13,0.666666667,0.740780543,0.597146029,0.9,0.3,13,20,0
2,14,14,0.683014354,0.720930233,0.595744681,0.9,0.3,13,20,0.05
3,15,15,0.731481481,0.705320766,0.581280968,0.9,0.3,13,20,0.1
4,16,16,0.75,0.690483761,0.596722915,0.9,0.3,13,20,0.15
5,17,17,0.779513889,0.679522335,0.595744681,0.9,0.3,13,20,0.2
6,18,18,0.75,0.682760629,0.610443199,0.9,0.3,13,20,0.25
7,19,19,0.786893705,0.653762904,0.599950008,0.9,0.3,13,20,0.3
8,20,20,0.8,0.649347728,0.599950008,0.9,0.3,13,20,0.35
9,21,21,0.8,0.632818826,0.599950008,0.9,0.3,13,20,0.4
10,22,22,0.851851852,0.592443503,0.598247851,0.9,0.3,13,20,0.45
11,23,23,0.846978558,0.58974359,0.600423131,0.9,0.3,13,20,0.5
12,24,24,0.882352941,0.554720134,0.593708141,0.9,0.3,13,20,0.55
13,25,25,0.875959079,0.578811799,0.611501624,0.9,0.3,13,20,0.6
14,26,26,0.904545455,0.562770563,0.608184895,0.9,0.3,13,20,0.65
15,27,27,0.919459459,0.540803492,0.607841828,0.9,0.3,13,20,0.7
16,28,28,0.922962963,0.519017094,0.603144276,0.9,0.3,13,20,0.75
17,29,29,0.941176471,0.480863039,0.57725257,0.9,0.3,13,20,0.8
18,30,30,0.939338235,0.426440425,0.571949811,0.9,0.3,13,20,0.85
19,31,31,0.947368421,0.44036549,0.575293862,0.9,0.3,13,20,0.9
20,32,32,0.967741935,0.399977216,0.548914452,0.9,0.3,13,20,0.95
21,33,33,1,0.346451128,0.508171085,0.9,0.3,13,20,1
22,34,34,1,0.247047244,0.391284771,0.9,0.3,13,20,1.05
23,35,35,1,0.160955664,0.276994834,0.9,0.3,13,20,1.1
24,36,36,1,0,0,0.9,0.3,13,20,1.15
25,37,37,1,0,0,0.9,0.3,13,20,1.2
26,38,38,1,0,0,0.9,0.3,13,20,1.25
27,39,39,1,0,0,0.9,0.3,13,20,1.3
28,40,40,1,0,0,0.9,0.3,13,20,1.35
29,41,41,1,0,0,0.9,0.3,13,20,1.4
30,42,42,1,0,0,0.9,0.3,13,20,1.45
