rank,index,type,%bug,%reducedCost,F1,y=0.9,y=0.3,x1,x2,y
1,3,3,0.429802956,0.860824742,0.536914508,0.9,0.3,5,10,0
2,4,4,0.666666667,0.764705882,0.646871668,0.9,0.3,5,10,0.05
3,5,5,0.764705882,0.685127455,0.647291621,0.9,0.3,5,10,0.1
4,6,6,0.819805195,0.625,0.645092031,0.9,0.3,5,10,0.15
5,7,7,0.862852665,0.5716369,0.629319175,0.9,0.3,5,10,0.2
6,8,8,0.9,0.494699252,0.603760762,0.9,0.3,5,10,0.25
7,9,9,0.928571429,0.458646617,0.560422034,0.9,0.3,5,10,0.3
8,10,10,0.944444444,0.412995324,0.551470998,0.9,0.3,5,10,0.35
9,11,11,0.962962963,0.34799851,0.503521473,0.9,0.3,5,10,0.4
10,12,12,0.970588235,0.347826087,0.49822695,0.9,0.3,5,10,0.45
11,13,13,1,0.3,0.458333333,0.9,0.3,5,10,0.5
12,14,14,1,0.279735318,0.416793893,0.9,0.3,5,10,0.55
13,15,15,1,0.224137931,0.361278447,0.9,0.3,5,10,0.6
14,16,16,1,0.208898668,0.345600535,0.9,0.3,5,10,0.65
15,17,17,1,0.166666667,0.285714286,0.9,0.3,5,10,0.7
16,18,18,1,0.140993789,0.247137405,0.9,0.3,5,10,0.75
17,19,19,1,0.143500644,0.250984252,0.9,0.3,5,10,0.8
18,20,20,1,0.130434783,0.230769231,0.9,0.3,5,10,0.85
19,21,21,1,0.126815353,0.225081699,0.9,0.3,5,10,0.9
20,22,22,1,0.133858268,0.236111111,0.9,0.3,5,10,0.95
21,23,23,1,0.122137405,0.217687075,0.9,0.3,5,10,1
22,24,24,1,0.131482452,0.232405892,0.9,0.3,5,10,1.05
23,25,25,1,0.125874126,0.223602484,0.9,0.3,5,10,1.1
24,26,26,1,0.111111111,0.2,0.9,0.3,5,10,1.15
25,27,27,1,0.120247725,0.214679934,0.9,0.3,5,10,1.2
26,28,28,1,0.108280255,0.195402299,0.9,0.3,5,10,1.25
27,29,29,1,0.114503817,0.205479452,0.9,0.3,5,10,1.3
28,30,30,1,0.106694252,0.19280888,0.9,0.3,5,10,1.35
29,31,31,1,0.108554536,0.195848193,0.9,0.3,5,10,1.4
30,32,32,1,0.109043928,0.196638655,0.9,0.3,5,10,1.45
