project,bugNum,inspectionReportNum,totalReportNum,
1-284-百度手机卫士功能体验_1463737109.csv,36,178,284,0.626760563
10-189-药直达用户体验调研_1463737319.csv,25,181,189,0.957671958
100-67-Florist测试_1463737562.csv,16,47,67,0.701492537
101-120-今日时尚测试_1463737561.csv,17,73,120,0.608333333
102-223-迪信通测试_1463737571.csv,27,122,223,0.547085202
103-79-多喝水测试_1463737572.csv,15,65,79,0.82278481
104-70-牛牛餐食测试_1463737573.csv,17,43,70,0.614285714
105-60-微约测试_1463737578.csv,15,48,60,0.8
106-103-基金速览2.3测试_1463737575.csv,14,67,103,0.650485437
107-174-硬件编码测试_1463737567.csv,24,99,174,0.568965517
108-272-优优送药测试_1463737584.csv,34,213,272,0.783088235
109-55-金银富测试_1463737553.csv,13,48,55,0.872727273
11-117-广告云推送调研测试_1463737325.csv,9,94,117,0.803418803
110-149-互动宝宝测试_1463737577.csv,17,143,149,0.959731544
111-241-迪信通测试二_1463737590.csv,30,158,241,0.65560166
112-119-思维简图测试_1463737602.csv,16,75,119,0.630252101
113-177-Hark测试_1463737599.csv,24,132,177,0.745762712
114-119-京东微联测试_1463737617.csv,17,94,119,0.789915966
115-157-天天红包测试_1463737606.csv,17,122,157,0.777070064
116-119-翻倍乐测试_1463737612.csv,17,116,119,0.974789916
117-257-药品通测试_1463737622.csv,32,244,257,0.949416342
118-243-次元GO测试_1463737610.csv,29,220,243,0.905349794
119-337-急救快通测试_1463737643.csv,42,288,337,0.854599407
12-37-百度视频体验测试_1463737328.csv,10,35,37,0.945945946
120-212-远行家测试_1463737546.csv,24,209,212,0.985849057
121-136-ING足球比分测试_1463737637.csv,17,127,136,0.933823529
122-138-购物狂测试_1463737645.csv,18,100,138,0.724637681
123-115-移动发布系统Beta测试_1463737586.csv,5,84,115,0.730434783
124-326-衣批测试_1463737628.csv,40,238,326,0.73006135
125-117-话费支付Demo测试_1463737673.csv,16,70,117,0.598290598
126-87-脸萌测试_1463737675.csv,19,54,87,0.620689655
127-271-365淘房测试_1463737634.csv,32,235,271,0.867158672
128-115-蛋蛋赚测试_1463737676.csv,14,102,115,0.886956522
129-286-滔滔托福口语测试_1463737596.csv,34,285,286,0.996503497
13-35-百度糯米v5.9.2体验测试_1463737329.csv,2,29,35,0.828571429
130-136-终极手电筒测试_1463737660.csv,19,107,136,0.786764706
131-85-我是我测试_1463737672.csv,21,80,85,0.941176471
132-93-whatslive测试_1463737665.csv,21,73,93,0.784946237
133-141-幻径测试_1463737686.csv,20,69,141,0.489361702
134-221-买车达人测试_1463737670.csv,24,191,221,0.864253394
135-243-星联app测试_1463737684.csv,30,151,243,0.621399177
136-215-简明天气测试_1463737693.csv,24,154,215,0.71627907
