 ,  ,number
Trend,%bug,1
Trend,%reducedCost,0.25
Trend,F1,0.4
Trend,%bug,0.923076923
Trend,%reducedCost,0.577464789
Trend,F1,0.710469314
Trend,%bug,0.933333333
Trend,%reducedCost,0.28440367
Trend,F1,0.435961828
Trend,%bug,1
Trend,%reducedCost,0.176136364
Trend,F1,0.299516908
Trend,%bug,0.833333333
Trend,%reducedCost,0.354330709
Trend,F1,0.497237569
Trend,%bug,0.717948718
Trend,%reducedCost,0.712121212
Trend,F1,0.715023092
Trend,%bug,0.869565217
Trend,%reducedCost,0.514285714
Trend,F1,0.646319569
Trend,%bug,1
Trend,%reducedCost,0.589147287
Trend,F1,0.741463415
Trend,%bug,1
Trend,%reducedCost,0.384615385
Trend,F1,0.555555556
Trend,%bug,1
Trend,%reducedCost,0.396039604
Trend,F1,0.567375887
Trend,%bug,0.928571429
Trend,%reducedCost,0.304347826
Trend,F1,0.458438287
Trend,%bug,0.875
Trend,%reducedCost,0.475806452
Trend,F1,0.61641791
Trend,%bug,1
Trend,%reducedCost,0.378378378
Trend,F1,0.549019608
Trend,%bug,0.972222222
Trend,%reducedCost,0.368055556
Trend,F1,0.533966609
Trend,%bug,0.85
Trend,%reducedCost,0.573619632
Trend,F1,0.684981685
Trend,%bug,0.961538462
Trend,%reducedCost,0.39673913
Trend,F1,0.561711296
Trend,%bug,0.857142857
Trend,%reducedCost,0.563106796
Trend,F1,0.6796875
Trend,%bug,1
Trend,%reducedCost,0
Trend,F1,0
Trend,%bug,1
Trend,%reducedCost,0.366336634
Trend,F1,0.536231884
Trend,%bug,0.076923077
Trend,%reducedCost,0.729166667
Trend,F1,0.13916501
Trend,%bug,1
Trend,%reducedCost,0.342342342
Trend,F1,0.510067114
Trend,%bug,1
Trend,%reducedCost,0.113636364
Trend,F1,0.204081633
Trend,%bug,0.882352941
Trend,%reducedCost,0.445378151
Trend,F1,0.591958302
Trend,%bug,0.888888889
Trend,%reducedCost,0.557971014
Trend,F1,0.68558709
Trend,%bug,0.411764706
Trend,%reducedCost,0.861842105
Trend,F1,0.557277423
Trend,%bug,0.891304348
Trend,%reducedCost,0.612903226
Trend,F1,0.726340326
Trend,%bug,0.928571429
Trend,%reducedCost,0.324873096
Trend,F1,0.481342204
Trend,%bug,1
Trend,%reducedCost,0.251908397
Trend,F1,0.402439024
Trend,%bug,0.875
Trend,%reducedCost,0.53256705
Trend,F1,0.662129976
Trend,%bug,0.03125
Trend,%reducedCost,0.860902256
Trend,F1,0.060310772
Trend,%bug,0.947368421
Trend,%reducedCost,0.470588235
Trend,F1,0.628820961
Trend,%bug,1
Trend,%reducedCost,0.219512195
Trend,F1,0.36
Trend,%bug,0.3
Trend,%reducedCost,0.839215686
Trend,F1,0.441996558
Trend,%bug,0.863636364
Trend,%reducedCost,0.459119497
Trend,F1,0.59952453
Trend,%bug,0.923076923
Trend,%reducedCost,0.610169492
Trend,F1,0.734693878
Trend,%bug,1
Trend,%reducedCost,0.048192771
Trend,F1,0.091954023
Trend,%bug,0.666666667
Trend,%reducedCost,0.627118644
Trend,F1,0.64628821
Trend,%bug,0.880952381
Trend,%reducedCost,0.628318584
Trend,F1,0.733491554
Trend,%bug,0.939393939
Trend,%reducedCost,0.425925926
Trend,F1,0.586107686
Trend,%bug,0.962962963
Trend,%reducedCost,0.479381443
Trend,F1,0.64010589
Trend,%bug,1
Trend,%reducedCost,0
Trend,F1,0
Trend,%bug,0.967741935
Trend,%reducedCost,0.52
Trend,F1,0.676496097
Trend,%bug,0.857142857
Trend,%reducedCost,0.582524272
Trend,F1,0.693641618
Trend,%bug,0.944444444
Trend,%reducedCost,0.621212121
Trend,F1,0.749462366
Trend,%bug,1
Trend,%reducedCost,0.196078431
Trend,F1,0.327868852
Trend,%bug,0.777777778
Trend,%reducedCost,0.643410853
Trend,F1,0.704242424
Trend,%bug,0.829787234
Trend,%reducedCost,0.503759398
Trend,F1,0.626919386
Trend,%bug,0.9375
Trend,%reducedCost,0.504273504
Trend,F1,0.655798444
Trend,%bug,1
Trend,%reducedCost,0.033557047
Trend,F1,0.064935065
Trend,%bug,0.647058824
Trend,%reducedCost,0.630252101
Trend,F1,0.638544892
Trend,%bug,0.928571429
Trend,%reducedCost,0.324873096
Trend,F1,0.481342204
Trend,%bug,0.771428571
Trend,%reducedCost,0.679577465
Trend,F1,0.722595854
Trend,%bug,0.857142857
Trend,%reducedCost,0.489932886
Trend,F1,0.623487544
Trend,%bug,0.916666667
Trend,%reducedCost,0.413953488
Trend,F1,0.570346636
Trend,%bug,0.742857143
Trend,%reducedCost,0.730103806
Trend,F1,0.736425263
Trend,%bug,0.833333333
Trend,%reducedCost,0.49382716
Trend,F1,0.620155039
Trend,%bug,0.847826087
Trend,%reducedCost,0.62972973
Trend,F1,0.722681724
Trend,%bug,0.416666667
Trend,%reducedCost,0.641509434
Trend,F1,0.505200594
Trend,%bug,0.4
Trend,%reducedCost,0.695652174
Trend,F1,0.507936508
Trend,%bug,0.935483871
Trend,%reducedCost,0.488549618
Trend,F1,0.641881376
Trend,%bug,1
Trend,%reducedCost,0.037634409
Trend,F1,0.07253886
Trend,%bug,1
Trend,%reducedCost,0.572519084
Trend,F1,0.72815534
Trend,%bug,1
Trend,%reducedCost,0.404761905
Trend,F1,0.576271186
Trend,%bug,0.888888889
Trend,%reducedCost,0.247863248
Trend,F1,0.387635756
Trend,%bug,0.8125
Trend,%reducedCost,0.5
Trend,F1,0.619047619
Trend,%bug,0.96
Trend,%reducedCost,0.476851852
Trend,F1,0.637195515
Trend,%bug,0.740740741
Trend,%reducedCost,0.731481481
Trend,F1,0.736081994
Trend,%bug,0.913043478
Trend,%reducedCost,0.405882353
Trend,F1,0.561954625
Trend,%bug,0.862745098
Trend,%reducedCost,0.622596154
Trend,F1,0.723257069
Trend,%bug,0.894736842
Trend,%reducedCost,0.503759398
Trend,F1,0.644595359
Trend,%bug,0.875
Trend,%reducedCost,0.564885496
Trend,F1,0.686547382
Trend,%bug,0.833333333
Trend,%reducedCost,0.613636364
Trend,F1,0.706806283
Trend,%bug,0.923076923
Trend,%reducedCost,0.575471698
Trend,F1,0.708958838
Trend,%bug,0.888888889
Trend,%reducedCost,0.460869565
Trend,F1,0.607015032
Trend,%bug,0.818181818
Trend,%reducedCost,0.508982036
Trend,F1,0.627563577
Trend,%bug,0.961538462
Trend,%reducedCost,0.39673913
Trend,F1,0.561711296
Trend,%bug,0.962962963
Trend,%reducedCost,0.527027027
Trend,F1,0.681222707
Trend,%bug,0.733333333
Trend,%reducedCost,0.625
Trend,F1,0.674846626
Trend,%bug,1
Trend,%reducedCost,0.414414414
Trend,F1,0.585987261
Trend,%bug,0.529411765
Trend,%reducedCost,0.727272727
Trend,F1,0.612765957
Trend,%bug,0.954545455
Trend,%reducedCost,0.5
Trend,F1,0.65625
Trend,%bug,0.931034483
Trend,%reducedCost,0.505353319
Trend,F1,0.655117463
Trend,%bug,0.869565217
Trend,%reducedCost,0.514285714
Trend,F1,0.646319569
Trend,%bug,0.925925926
Trend,%reducedCost,0.208121827
Trend,F1,0.339854111
Trend,%bug,1
Trend,%reducedCost,0.026548673
Trend,F1,0.051724138
Trend,%bug,0.926829268
Trend,%reducedCost,0.418674699
Trend,F1,0.576794977
Trend,%bug,1
Trend,%reducedCost,0.070175439
Trend,F1,0.131147541
Trend,%bug,0.904761905
Trend,%reducedCost,0.233333333
Trend,F1,0.370990237
Trend,%bug,0.947368421
Trend,%reducedCost,0.255639098
Trend,F1,0.402631579
Trend,%bug,1
Trend,%reducedCost,0.376068376
Trend,F1,0.546583851
Trend,%bug,1
Trend,%reducedCost,0.171511628
Trend,F1,0.29280397
Trend,%bug,0.892857143
Trend,%reducedCost,0.364754098
Trend,F1,0.51792365
Trend,%bug,0.86
Trend,%reducedCost,0.660891089
Trend,F1,0.747412278
Trend,%bug,0.666666667
Trend,%reducedCost,0.576642336
Trend,F1,0.618395303
Trend,%bug,0.666666667
Trend,%reducedCost,0.766233766
Trend,F1,0.712990937
Trend,%bug,0.896551724
Trend,%reducedCost,0.422594142
Trend,F1,0.574428525
Trend,%bug,1
Trend,%reducedCost,0.46969697
Trend,F1,0.639175258
Trend,%bug,0.666666667
Trend,%reducedCost,0.770562771
Trend,F1,0.714859438
Trend,%bug,0.878787879
Trend,%reducedCost,0.494464945
Trend,F1,0.632847488
Trend,%bug,1
Trend,%reducedCost,0.141791045
Trend,F1,0.248366013
Trend,%bug,0.925
Trend,%reducedCost,0.382716049
Trend,F1,0.541420817
Trend,%bug,0.823529412
Trend,%reducedCost,0.463414634
Trend,F1,0.593088071
Trend,%bug,0.892857143
Trend,%reducedCost,0.456852792
Trend,F1,0.604432505
Trend,%bug,0.843137255
Trend,%reducedCost,0.580097087
Trend,F1,0.687309814
Trend,%bug,1
Trend,%reducedCost,0.324786325
Trend,F1,0.490322581
Trend,%bug,0.842105263
Trend,%reducedCost,0.532467532
Trend,F1,0.652411735
Trend,%bug,0.304347826
Trend,%reducedCost,0.844444444
Trend,F1,0.447434819
Trend,%bug,0.95
Trend,%reducedCost,0.51048951
Trend,F1,0.664113
Trend,%bug,0.892857143
