1,2,6
3,29,114
4,48,123
7,89,146
65,92,223
72,95,307
74,97,308
76,98,273
83,99,174
87,122,340
101,128,557
102,130,199
107,134,200
108,143,222
112,157,163
125,164,158
133,167,67
135,168,339
141,170,237
142,171,
145,181,
149,189,
151,216,
159,217,
175,218,
179,219,
183,220,
184,239,
187,240,
190,243,
192,244,
193,249,
194,250,
196,257,
197,258,
202,261,
203,261,
204,263,
205,263,
213,267,
214,268,
215,275,
224,276,
225,295,
228,296,
229,299,
234,300,
235,327,
236,328,
251,338,
252,343,
253,346,
254,360,
274,361,
277,403,
278,404,
283,426,
284,451,
285,488,
286,543,
294,106,
309,111,
310,113,
311,508,
312,442,
315,362,
316,366,
317,348,
318,350,
319,351,
320,293,
321,226,
322,227,
325,230,
326,231,
329,212,
330,161,
336,162,
337,154,
347,150,
349,136,
356,127,
357,115,
377,119,
382,124,
383,11,
389,,
397,,
427,,
441,,
443,,
449,,
452,,
456,,
457,,
464,,
471,,
472,,
478,,
479,,
487,,
499,,
509,,
521,,
527,,
533,,
541,,
544,,
559,,
42,,
450,,
81,,
93,,
