rank,index,type,%bugs,%effort,F1,%bugs=0.9,%effort=0.3,
1,5,3-1,0.13636363636363635,0.9228287841191067,0.5345255794854368,0.9,0.3,
2,9,4-1,0.16869918699186992,0.8971050454921423,0.545421232200157,0.9,0.3,
3,13,5-1,0.21428571428571427,0.8734177215189873,0.554323589039192,0.9,0.3,
4,17,6-1,0.25,0.8476175118922842,0.5591630591630592,0.9,0.3,
5,21,7-1,0.290994623655914,0.8222204305409981,0.5640702746542162,0.9,0.3,
6,25,8-1,0.3333333333333333,0.7974683544303798,0.5671940579810348,0.9,0.3,
7,29,9-1,0.3550420168067227,0.7749912105941639,0.5798586062617227,0.9,0.3,
8,1,10-1,0.39642857142857146,0.7560159184736117,0.5809913847909085,0.9,0.3,
9,6,3-2,0.8888888888888888,0.472,0.6110580442102181,0.9,0.3,
10,7,3-3,0.9166666666666666,0.44660194174757284,0.5979414119845189,0.9,0.3,
11,10,4-2,0.9166666666666666,0.430952380952381,0.5985913596207715,0.9,0.3,
12,15,5-3,0.9347826086956522,0.33109619686800895,0.5882880858204482,0.9,0.3,
13,11,4-3,0.9361413043478262,0.3587786259541985,0.5902877262405664,0.9,0.3,
14,14,5-2,0.9444444444444444,0.3551520742480152,0.6014155334022135,0.9,0.3,
15,18,6-2,0.9444444444444444,0.285355401211763,0.5913489736070381,0.9,0.3,
16,8,3-4,0.9473684210526315,0.3205839416058394,0.6006644487166684,0.9,0.3,
17,19,6-3,0.9565217391304348,0.2594046642446971,0.5817708333333333,0.9,0.3,
18,4,10-4,0.9591666666666667,0.044351817159984985,0.5053879781735297,0.9,0.3,
19,22,7-2,0.96,0.25216779070629214,0.5856321839080461,0.9,0.3,
20,12,4-4,0.9603921568627451,0.23277591973244144,0.5763566746290631,0.9,0.3,
21,26,8-2,0.9611613876319759,0.23184913567312726,0.5833333333333333,0.9,0.3,
22,31,9-3,0.9629629629629629,0.1383067198935462,0.534598324328055,0.9,0.3,
23,3,10-3,0.9642857142857143,0.07563025210084029,0.5187691807410117,0.9,0.3,
24,23,7-3,0.9654761904761905,0.21311043833092014,0.568356259968102,0.9,0.3,
25,16,5-4,0.9672043010752689,0.1958083832335329,0.5640761643278422,0.9,0.3,
26,30,9-2,0.967741935483871,0.21359223300970875,0.5685199485199485,0.9,0.3,
27,27,8-3,0.9687194525904204,0.1632538569424965,0.5454545454545454,0.9,0.3,
28,2,10-2,0.9696969696969697,0.1913687881429817,0.5502316734961249,0.9,0.3,
29,32,9-4,0.9701426024955437,0.04625668449197862,0.5099009900990099,0.9,0.3,
30,20,6-4,0.9710084033613445,0.13077580181719345,0.541262636682484,0.9,0.3,
31,24,7-4,0.9777337951509153,0.09084906765492046,0.5233636363636364,0.9,0.3,
32,28,8-4,1.0,0.05718954248366015,0.5158595065524563,0.9,0.3,
