rank,index,type,%bugs,%effort,F1,%bugs=0.9,%effort=0.3,
1,5,3-1,0.4298029556650246,0.8608247422680413,0.633039204266004,0.9,0.3,
2,9,4-1,0.6666666666666666,0.7647058823529411,0.676646111087746,0.9,0.3,
3,6,3-2,0.6923076923076923,0.7533130493576741,0.6758695838267396,0.9,0.3,
4,13,5-1,0.7647058823529411,0.6851274547228231,0.6839237001646534,0.9,0.3,
5,7,3-3,0.8060035842293907,0.6486089939024391,0.6886932845945131,0.9,0.3,
6,10,4-2,0.8148148148148148,0.6427942623375279,0.6942426801801802,0.9,0.3,
7,17,6-1,0.8198051948051948,0.625,0.6818313185696872,0.9,0.3,
8,8,3-4,0.8571428571428571,0.5852534562211982,0.6852142161259394,0.9,0.3,
9,21,7-1,0.8628526645768024,0.5716369004752988,0.685337511424468,0.9,0.3,
10,14,5-2,0.8651515151515152,0.5501245330012453,0.6818561872909699,0.9,0.3,
11,11,4-3,0.875,0.5308451308451309,0.6809523322182975,0.9,0.3,
12,25,8-1,0.9,0.49469925231558975,0.6765565670027913,0.9,0.3,
13,18,6-2,0.9194594594594595,0.47322451317296677,0.6697484591037814,0.9,0.3,
14,12,4-4,0.9254629629629629,0.4528912922321469,0.668426089116849,0.9,0.3,
15,15,5-3,0.9285714285714286,0.44978399371618083,0.6581196581196581,0.9,0.3,
16,29,9-1,0.9285714285714286,0.4586466165413534,0.662834448160535,0.9,0.3,
17,1,10-1,0.9444444444444444,0.41299532365247354,0.6549214515461654,0.9,0.3,
18,22,7-2,0.9444444444444444,0.4077342047930283,0.6534653465346535,0.9,0.3,
19,19,6-3,0.9607692307692308,0.3535539215686274,0.6403113799283154,0.9,0.3,
20,16,5-4,0.967741935483871,0.34328376521397724,0.6273485616278163,0.9,0.3,
21,26,8-2,0.9705882352941176,0.3311827956989247,0.6375574921326554,0.9,0.3,
22,2,10-2,1.0,0.21025960863802912,0.5882352941176471,0.9,0.3,
23,3,10-3,1.0,0.0886017535763729,0.5431472081218274,0.9,0.3,
24,4,10-4,1.0,0.05660377358490565,0.5283018867924528,0.9,0.3,
25,20,6-4,1.0,0.22935520361990946,0.5988034807831762,0.9,0.3,
26,23,7-3,1.0,0.2584171826625387,0.6100334380791234,0.9,0.3,
27,24,7-4,1.0,0.17077258906993065,0.580155252623607,0.9,0.3,
28,27,8-3,1.0,0.189873417721519,0.5899937460913072,0.9,0.3,
29,28,8-4,1.0,0.09196617336152224,0.5459830866807611,0.9,0.3,
30,30,9-2,1.0,0.28642149929278643,0.6095833508779317,0.9,0.3,
31,31,9-3,1.0,0.13853073463268367,0.5594405594405594,0.9,0.3,
32,32,9-4,1.0,0.06750162654521796,0.533750813272609,0.9,0.3,
