rank,index,category,%bugs,%effort,F1,%bugs=0.9,%effort=0.4,
1,4,performanceMhJK-10-4,0.9705882352941176,0.02777777777777779,0.5019157088122606,0.9,0.4,
2,32,performanceMhJK-9-4,0.9827586206896551,0.02941176470588236,0.5030197563173023,0.9,0.4,
3,1,performanceMhJK-10-1,1.0,0.03977401129943503,0.5161290322580645,0.9,0.4,
4,2,performanceMhJK-10-2,1.0,0.032258064516129004,0.5103092783505154,0.9,0.4,
5,3,performanceMhJK-10-3,1.0,0.029126213592232997,0.5061728395061729,0.9,0.4,
6,5,performanceMhJK-3-1,1.0,0.04705882352941182,0.5102397371222289,0.9,0.4,
7,6,performanceMhJK-3-2,1.0,0.018066147383875075,0.5080322580645161,0.9,0.4,
8,7,performanceMhJK-3-3,1.0,0.01680672268907568,0.5075481371767119,0.9,0.4,
9,8,performanceMhJK-3-4,1.0,0.015504807692307665,0.5072554042672656,0.9,0.4,
10,9,performanceMhJK-4-1,1.0,0.03448275862068961,0.5130434782608695,0.9,0.4,
11,10,performanceMhJK-4-2,1.0,0.021980676328502424,0.5087719298245614,0.9,0.4,
12,11,performanceMhJK-4-3,1.0,0.018867924528301883,0.5074626865671642,0.9,0.4,
13,12,performanceMhJK-4-4,1.0,0.01538461538461533,0.5053763440860215,0.9,0.4,
14,13,performanceMhJK-5-1,1.0,0.029488479930444844,0.5116065014367817,0.9,0.4,
15,14,performanceMhJK-5-2,1.0,0.022772448362285036,0.5108695652173914,0.9,0.4,
16,15,performanceMhJK-5-3,1.0,0.022311798218928036,0.5077248866618945,0.9,0.4,
17,16,performanceMhJK-5-4,1.0,0.01883946527859931,0.5063694267515924,0.9,0.4,
18,17,performanceMhJK-6-1,1.0,0.037951893993950714,0.5161290322580645,0.9,0.4,
19,18,performanceMhJK-6-2,1.0,0.025380710659898442,0.5093025268258913,0.9,0.4,
20,19,performanceMhJK-6-3,1.0,0.025380710659898442,0.5086206896551724,0.9,0.4,
21,20,performanceMhJK-6-4,1.0,0.023255813953488413,0.5060275962236747,0.9,0.4,
22,21,performanceMhJK-7-1,1.0,0.03816793893129766,0.5161945974298452,0.9,0.4,
23,22,performanceMhJK-7-2,1.0,0.028339755940912037,0.5111012980611238,0.9,0.4,
24,23,performanceMhJK-7-3,1.0,0.02777777777777779,0.5091374330032893,0.9,0.4,
25,24,performanceMhJK-7-4,1.0,0.025544825786245617,0.5057251908396947,0.9,0.4,
26,25,performanceMhJK-8-1,1.0,0.040000000000000036,0.5167785234899329,0.9,0.4,
27,26,performanceMhJK-8-2,1.0,0.031847133757961776,0.5113812994369797,0.9,0.4,
28,27,performanceMhJK-8-3,1.0,0.030303030303030276,0.5082883047898159,0.9,0.4,
29,28,performanceMhJK-8-4,1.0,0.02608695652173909,0.505338348721456,0.9,0.4,
30,29,performanceMhJK-9-1,1.0,0.040609137055837574,0.5170952659263588,0.9,0.4,
31,30,performanceMhJK-9-2,1.0,0.03288406580675057,0.5125676895306859,0.9,0.4,
32,31,performanceMhJK-9-3,1.0,0.03195181706819106,0.5089702333065165,0.9,0.4,
