rank,index,type,%bugs,%effort,F1,%bugs=0.9,%effort=0.3,
1,21,3-1,0.32426470588235295,0.924,0.6113556691253182,0.9,0.3,
2,27,4-1,0.38799283154121866,0.8957252285643686,0.6257100785212704,0.9,0.3,
3,28,5-1,0.4444444444444444,0.8709516256938937,0.6388111345519976,0.9,0.3,
4,29,6-1,0.5244047619047619,0.8306010928961749,0.6471264367816092,0.9,0.3,
5,30,7-1,0.575187969924812,0.806653525607774,0.6668885927253856,0.9,0.3,
6,31,8-1,0.6923076923076923,0.7614213197969544,0.6851871761223708,0.9,0.3,
7,32,9-1,0.7071078431372549,0.7470772337203433,0.6853673584981996,0.9,0.3,
8,1,10-1,0.7407407407407407,0.7047380156075808,0.6908010461301741,0.9,0.3,
9,2,11-1,0.7801932367149759,0.6682027649769585,0.6961110076998102,0.9,0.3,
10,3,12-1,0.8110119047619048,0.6523076923076923,0.695229240618011,0.9,0.3,
11,4,13-1,0.8260869565217391,0.6241967247097844,0.6931036738001929,0.9,0.3,
12,5,14-1,0.8518518518518519,0.604737889847379,0.6921277725342143,0.9,0.3,
13,6,15-1,0.8571428571428571,0.5933481552697992,0.6908854166666667,0.9,0.3,
14,7,16-1,0.8624070317782285,0.579732373077265,0.6924942494249424,0.9,0.3,
15,8,17-1,0.88,0.5510291595197255,0.6899403009181607,0.9,0.3,
16,9,18-1,0.8920807453416149,0.5122989073738538,0.6880305367147472,0.9,0.3,
17,10,19-1,0.8973684210526316,0.5006265664160401,0.6847374847374847,0.9,0.3,
18,11,20-1,0.9154761904761904,0.48453608247422686,0.6737040133779264,0.9,0.3,
19,12,21-1,0.9263775971093045,0.4538352272727273,0.6680381174531138,0.9,0.3,
20,13,22-1,0.9340579710144927,0.4201680672268907,0.6631754163788471,0.9,0.3,
21,14,23-1,0.945906432748538,0.39896811219641976,0.6555476772596965,0.9,0.3,
22,15,24-1,0.9522727272727273,0.3666485112563544,0.6503911634960022,0.9,0.3,
23,16,25-1,0.9583333333333334,0.35955984022123216,0.644948955365622,0.9,0.3,
24,17,26-1,0.9622507122507122,0.35230611045828436,0.6418443422519509,0.9,0.3,
25,18,27-1,0.9705882352941176,0.34640470729031614,0.6305048849841683,0.9,0.3,
26,19,28-1,0.9775,0.34017318289162946,0.6278541424933193,0.9,0.3,
27,20,29-1,1.0,0.29441624365482233,0.6203965724005434,0.9,0.3,
28,22,30-1,1.0,0.2706104044686722,0.6156451727317869,0.9,0.3,
29,23,31-1,1.0,0.2571591014573471,0.609346051412691,0.9,0.3,
30,24,32-1,1.0,0.23710826210826214,0.6048780487804878,0.9,0.3,
31,25,33-1,1.0,0.22187060478199716,0.6002688172043011,0.9,0.3,
32,26,34-1,1.0,0.2107980028772108,0.597894140007347,0.9,0.3,
