,1,2,3,4,5,6,7,8
1,0,0,0,0,0,0.353,0.089,0.037
2,,,0.467,0.209,0.225,0,0,0.028
3,,,,0.585,0.616,0,0,0.027
4,,,,,0.972,0,0,0.043
5,,,,,,0,0,0.161
6,,,,,,,0.022,0.107
7,,,,,,,,0.003
8,,,,,,,,
