rank,index,type,%bugs,%effort,F1,%bugs=0.9,%effort=0.3,
1,5,3-1,0.8441295546558705,0.5384615384615384,0.6068848491465589,0.9,0.3,
2,9,4-1,0.8708333333333333,0.5155375410152481,0.6097787692879717,0.9,0.3,
3,13,5-1,0.8846153846153846,0.46153846153846156,0.6290963847635297,0.9,0.3,
4,17,6-1,0.9245014245014245,0.42352357320099254,0.6061844505243958,0.9,0.3,
5,21,7-1,0.9272486772486772,0.38795864880605707,0.5992366412213741,0.9,0.3,
6,6,3-2,0.9333333333333333,0.42330561330561334,0.6157971925413785,0.9,0.3,
7,25,8-1,0.9428104575163399,0.3619105939987753,0.6072322154144647,0.9,0.3,
8,29,9-1,0.9444444444444444,0.3038461538461539,0.5965214761040533,0.9,0.3,
9,7,3-3,0.9523809523809523,0.3459759292615032,0.6118576276664512,0.9,0.3,
10,10,4-2,0.9523809523809523,0.34811427515647014,0.5982318432069293,0.9,0.3,
11,1,10-1,0.9615384615384616,0.23076923076923073,0.5696428930286771,0.9,0.3,
12,11,4-3,0.967741935483871,0.2503224617652478,0.5741249491249492,0.9,0.3,
13,14,5-2,0.967741935483871,0.2547726483859771,0.5896946564885497,0.9,0.3,
14,15,5-3,0.96875,0.1979020979020979,0.5614747864747864,0.9,0.3,
15,4,10-4,0.9692234848484849,0.029126213592232997,0.5018450184501845,0.9,0.3,
16,32,9-4,0.9811320754716981,0.034022323274080224,0.5035623732251522,0.9,0.3,
17,2,10-2,1.0,0.05820628646715603,0.5173416198877305,0.9,0.3,
18,3,10-3,1.0,0.04347826086956519,0.5096638655462185,0.9,0.3,
19,8,3-4,1.0,0.19599999999999995,0.5761342559566272,0.9,0.3,
20,12,4-4,1.0,0.11137852246763136,0.54008137897701,0.9,0.3,
21,16,5-4,1.0,0.039230769230769236,0.5158164541135284,0.9,0.3,
22,18,6-2,1.0,0.22138773388773386,0.5756904957001796,0.9,0.3,
23,19,6-3,1.0,0.12850853054485417,0.5501304284817159,0.9,0.3,
24,20,6-4,1.0,0.03816793893129766,0.5135135135135135,0.9,0.3,
25,22,7-2,1.0,0.1717557251908397,0.5585379782981154,0.9,0.3,
26,23,7-3,1.0,0.06488549618320616,0.5252938170669392,0.9,0.3,
27,24,7-4,1.0,0.03076923076923077,0.5108910499683744,0.9,0.3,
28,26,8-2,1.0,0.11991199119911994,0.5339805825242718,0.9,0.3,
29,27,8-3,1.0,0.05882352941176472,0.519493670886076,0.9,0.3,
30,28,8-4,1.0,0.03240810202550637,0.5087025795131397,0.9,0.3,
31,30,9-2,1.0,0.0758447160316319,0.5290991813276269,0.9,0.3,
32,31,9-3,1.0,0.047567873303167474,0.5159759085340956,0.9,0.3,
