,1,2,3,4,5,6,7,8
1,0,0.683,0.005,0.017,0.414,0.023,0.181,0.658
2,,,0.048,0.086,0.501,0.106,0.185,0.233
3,,,,0.654,0.154,0,0,0.208
4,,,,,0.298,0,0,0.278
5,,,,,,0.026,0.105,0.587
6,,,,,,,0.079,0.026
7,,,,,,,,0.724
8,,,,,,,,
