 ,  ,number
Mth,%effort,0.3910891089108911
Mth,F1,0.6855445544554455
Mth,%bugs,1.0
Mth,%effort,0.25
Mth,F1,0.625
Mth,%bugs,0.14285714285714285
Mth,%effort,0.9292035398230089
Mth,F1,0.5360303413400759
Mth,%bugs,0.14285714285714285
Mth,%effort,0.9292035398230089
Mth,F1,0.5360303413400759
Mth,%bugs,0.8235294117647058
Mth,%effort,0.5547703180212014
Mth,F1,0.6891498648929536
Mth,%bugs,0.9444444444444444
Mth,%effort,0.02083333333333337
Mth,F1,0.4826388888888889
Mth,%bugs,0.7857142857142857
Mth,%effort,0.5922330097087378
Mth,F1,0.6889736477115118
Mth,%bugs,0.7857142857142857
Mth,%effort,0.5922330097087378
Mth,F1,0.6889736477115118
Mth,%bugs,1.0
Mth,%effort,0.007518796992481258
Mth,F1,0.5037593984962406
Mth,%bugs,0.9705882352941176
Mth,%effort,0.25
Mth,F1,0.6102941176470589
Mth,%bugs,1.0
Mth,%effort,0.012658227848101222
Mth,F1,0.5063291139240507
Mth,%bugs,1.0
Mth,%effort,0.014084507042253502
Mth,F1,0.5070422535211268
Mth,%bugs,1.0
Mth,%effort,0.014084507042253502
Mth,F1,0.5070422535211268
Mth,%bugs,0.8717948717948718
Mth,%effort,0.4276923076923077
Mth,F1,0.6497435897435897
Mth,%bugs,0.8717948717948718
Mth,%effort,0.4276923076923077
Mth,F1,0.6497435897435897
Mth,%bugs,0.7142857142857143
Mth,%effort,0.5573770491803278
Mth,F1,0.635831381733021
Mth,%bugs,0.7142857142857143
Mth,%effort,0.5573770491803278
Mth,F1,0.635831381733021
Mth,%bugs,0.5555555555555556
Mth,%effort,0.8064516129032258
Mth,F1,0.6810035842293907
Mth,%bugs,0.5555555555555556
Mth,%effort,0.8064516129032258
Mth,F1,0.6810035842293907
Mth,%bugs,0.7391304347826086
Mth,%effort,0.6571428571428571
Mth,F1,0.698136645962733
Mth,%bugs,0.7391304347826086
Mth,%effort,0.6571428571428571
Mth,F1,0.698136645962733
Mth,%bugs,1.0
Mth,%effort,0.005347593582887722
