21,18,13,42,
28,13,13,42,
35,14,14,42,
42,30,17,42,
49,30,17,42,
56,70,18,42,
63,30,20,42,
70,27,22,42,
77,36,26,42,
84,46,31,42,
91,53,34,42,
98,50,34,42,
105,47,36,42,
112,50,37,42,
119,50,37,42,
126,52,37,42,
133,49,37,42,
140,46,38,42,
147,43,38,42,
154,42,38,42,
161,40,38,42,
168,39,38,42,
175,38,38,42,
182,41,40,42,
189,40,40,42,
196,40,40,42,
203,40,40,42,
210,41,41,42,
217,41,41,42,
224,41,41,42,
231,42,42,42,
238,42,42,42,
245,42,42,42,
252,42,42,42,
259,42,42,42,
266,42,42,42,
273,42,42,42,
280,42,42,42,
287,42,42,42,
294,42,42,42,
301,42,42,42,
308,42,42,42,
315,42,42,42,
322,42,42,42,
329,42,42,42,
336,42,42,42,
