21,0,0,16,
28,0,3,16,
35,0,8,16,
42,24,11,16,
49,36,14,16,
56,20,14,16,
63,16,14,16,
70,14,14,16,
77,16,16,16,
84,16,16,16,
91,16,16,16,
98,16,16,16,
105,16,16,16,
112,16,16,16,
119,16,16,16,
