21,33,13,57,
28,91,19,57,
35,42,22,57,
42,34,23,57,
49,40,27,57,
56,58,32,57,
63,57,35,57,
70,57,35,57,
77,63,37,57,
84,73,39,57,
91,81,41,57,
98,60,41,57,
105,56,41,57,
112,49,41,57,
119,47,41,57,
126,45,41,57,
133,47,43,57,
140,47,44,57,
147,47,44,57,
154,48,45,57,
161,48,45,57,
168,48,46,57,
175,48,46,57,
182,49,47,57,
189,49,47,57,
196,50,48,57,
203,53,50,57,
210,53,50,57,
217,55,51,57,
224,55,51,57,
231,55,51,57,
238,55,51,57,
245,55,51,57,
252,54,51,57,
259,57,54,57,
266,56,54,57,
273,56,54,57,
280,57,54,57,
287,57,54,57,
294,57,54,57,
301,57,54,57,
308,57,54,57,
315,58,55,57,
322,58,55,57,
329,58,55,57,
336,58,55,57,
343,57,55,57,
350,57,55,57,
357,57,55,57,
364,58,56,57,
371,58,56,57,
378,58,57,57,
385,58,57,57,
392,57,57,57,
399,57,57,57,
406,57,57,57,
413,57,57,57,
420,57,57,57,
427,57,57,57,
434,57,57,57,
441,57,57,57,
448,57,57,57,
455,57,57,57,
462,57,57,57,
