21,36,12,34,
28,30,15,34,
35,24,16,34,
42,30,18,34,
49,50,22,34,
56,52,25,34,
63,40,25,34,
70,46,26,34,
77,45,27,34,
84,36,28,34,
91,35,28,34,
98,35,29,34,
105,33,29,34,
112,35,30,34,
119,34,30,34,
126,35,31,34,
133,35,31,34,
140,36,32,34,
147,35,32,34,
154,34,32,34,
161,35,33,34,
168,36,33,34,
175,36,33,34,
182,35,33,34,
189,35,33,34,
196,35,33,34,
203,35,33,34,
210,34,33,34,
217,34,33,34,
224,34,33,34,
231,35,34,34,
238,34,34,34,
245,34,34,34,
252,34,34,34,
259,34,34,34,
266,34,34,34,
273,34,34,34,
280,34,34,34,
