project,m
3-145-手机卫士短信功能_1463737156.csv,0.941541181
300-197-每刻兼职测试_1463738080.csv,0.656964217
307-137-UONE_1463738088.csv,1.111444929
308-137-bugUONE_1470654431.csv,1.111444929
309-170-私人飞行测试_1463738093.csv,0.94530943
310-170-bug私人飞行测试_1470654421.csv,0.94530943
311-185-bug社区慧生活测试_1470654424.csv,0.737405403
312-185-社区慧生活测试_1463738091.csv,0.737405403
315-119-萌宠达人测试_1463738095.csv,0.983030037
316-119-bug萌宠达人测试_1470654419.csv,0.983030037
319-197-百叶小成测试_1463738097.csv,1.05406587
320-197-bug百叶小成测试_1470654418.csv,1.05406587
325-231-数英测试_1463738102.csv,0.812565848
326-231-bug数英测试_1470654415.csv,0.812565848
327-239-动起来测试_1463738068.csv,1.229102991
328-239-bug动起来测试_1470654454.csv,1.229102991
329-102-bug小说阅读网V1.0.8测试_1470654414.csv,0.98225237
330-102-小说阅读网V1.0.8测试_1463738106.csv,0.98225237
336-179-bugRulane SportV1.2.8测试_1470654410.csv,1.700653
337-255-bug4399游戏盒V3.3测试_1470654412.csv,1.148501309
338-315-bug邻邻V1.3.4 build测试_1470654409.csv,1.012525507
339-308-bugWhatchAppV1.0测试_1470654408.csv,0.761561818
340-266-bug包头优生活V1.20.160426测试_1470654405.csv,2.45451742
343-115-bug100赚V1.4测试_1470654401.csv,0.909949179
346-214-bug徐水圈V1.0.160419测试_1470654402.csv,0.82073457
347-370-bug指尖大学测试_1470654404.csv,1.068661181
348-467-bug友服商城V1.0测试_1470654398.csv,1.227495945
349-195-bug优悠校园V2.1.0.2628测试_1470654399.csv,2.477560445
350-324-bugdr.wineV3.1.2测试_1470654390.csv,1.815612408
351-123-bugFolderExplorerV1.0测试_1470654387.csv,1.23026234
357-134-bug筑医台V1.2测试_1470654365.csv,1.134138404
360-277-bug寻到宝V1.0.0测试_1470654368.csv,0.85014225
361-155-bug德成贷V1.0测试_1470654375.csv,0.905716085
362-172-bug一比分V1.1.0测试_1470654365.csv,0.931137238
366-206-bug通辽碧桂园V2.07.160526测试_1470654364.csv,1.190403451
383-112-bug行知宝V1.6.6测试_1470654355.csv,2.951241103
389-141-bug好善乐购V2.1.0测试_1470654354.csv,2.147149834
397-149-bug奇好云宝V1.0.0测试_1470654352.csv,2.949762552
4-399-百度浏览器T7尝鲜版第二轮测试来袭_1463737217.csv,0.944134086
403-197-bug点帮帮测试_1470654349.csv,2.73215683
404-270-bug门诊大厅V2.6.5测试_1470654351.csv,2.810624883
42-129-优房优派测试_1463737427.csv,0.82336533
427-157-bug七彩乐居V1.1测试_1470654346.csv,1.486852883
451-109-bug掌上110V1.0.0测试_1470654321.csv,1.411810113
464-186-bug眼专家V1.3测试_1470654302.csv,4.247223836
471-108-bug物通配货信息部V1.2.0测试_1470654300.csv,2.487462996
472-114-bug佰职网V1.2.1测试_1470654299.csv,3.831407013
479-122-bug有个性V1.0.3测试_1470654296.csv,1.656404916
48-118-百度糯米6.0.2测试_1463737445.csv,0.585258792
488-132-bug易秒微配客户端V1.0.0测试_1470654297.csv,0.771579009
499-130-bug陶世界V1.0.1测试_1470654291.csv,1.773996246
508-159-bug好园区VV1.0.5测试_1470654289.csv,1.430022225
509-176-bug红猩猩V1.2测试_1470654287.csv,3.175447735
533-166-bug知渔宝V1.3.0测试_1470654279.csv,3.813541163
543-117-bug华数享看V2.1.0测试_1470654279.csv,3.567687422
544-200-bug粤通卡V3.0.3测试_1470654280.csv,4.657915059
557-106-bug成都基层平台V0.2.6测试_1470654272.csv,1.064001053
6-144-百度天眼测试反馈_1463737257.csv,3.277852782
65-111-夺宝猫测试_1463737499.csv,1.042912783
67-138-法律易查测试_1463737508.csv,0.702479154
7-127-百度手机卫士安全短信功能测试_1463737282.csv,1.166375252
72-213-花友测试_1463737504.csv,0.930375735
74-230-通星粉测试_1463737520.csv,1.107440067
81-153-worker测试_1463737532.csv,2.681898648
83-132-茄子医生测试_1463737528.csv,1.015937456
87-123-听世界听书测试_1463737540.csv,0.99388473
89-120-一起飞测试_1463737536.csv,0.998342378
92-133-喵哆啦测试_1463737548.csv,0.931769738
93-104-今日城市测试_1463737550.csv,0.786420416
95-106-爱陪护测试_1463737556.csv,0.944585538
97-107-淘特惠测试_1463737552.csv,1.265795144
99-156-雅思君测试_1463737564.csv,0.868754033
