project,cost,hours,,,,,,,duration,3
257-133-bug口袋故事测试_1470654466.csv,45,1,84,1,95,1,,,duration,1
258-133-口袋故事测试_1463738051.csv,45,1,84,1,95,1,,,duration,0
261-195-小刀汇测试_1463738056.csv,74,0,100,0,154,0,,,duration,33
262-197-bug小刀汇测试_1470654465.csv,67,33,102,33,156,33,,,duration,0
263-212-bug芈糕测试_1470654464.csv,51,0,71,0,160,4,,,duration,0
264-212-芈糕测试_1463738058.csv,51,0,71,0,160,4,,,duration,18
267-194-bug车阿哥（用户端）测试_1470654466.csv,58,18,79,18,142,19,,,duration,18
268-194-车阿哥（用户端）测试_1463738053.csv,58,18,79,18,142,19,,,duration,1
273-146-黄瓜测试_1463738063.csv,80,1,86,1,120,3,,,duration,39
274-149-bug黄瓜测试_1470654456.csv,83,39,92,39,123,40,,,duration,8
275-261-bug淘二手测试_1470654455.csv,87,8,136,9,226,20,,,duration,8
276-261-淘二手测试_1463738066.csv,87,8,136,9,226,20,,,duration,0
277-262-3Dsousou测试_1463738072.csv,80,0,126,0,168,16,,,duration,0
278-262-bug3Dsousou测试_1470654452.csv,80,0,126,0,168,16,,,duration,0
283-184-海捣网测试_1463738074.csv,76,0,89,0,122,0,,,duration,0
284-184-bug海捣网测试_1470654451.csv,76,0,89,0,122,0,,,duration,0
285-116-bug蜘蛛网app测试_1470654446.csv,46,0,57,0,67,0,,,duration,0
286-116-蜘蛛网app测试_1463738077.csv,46,0,57,0,67,0,,,duration,12
29-150-小白用车_1463737383.csv,68,12,94,19,122,28,,,duration,8
293-143-bug一度蜜测试_1470654434.csv,41,8,47,8,84,8,,,duration,8
294-143-一度蜜测试_1463738084.csv,41,8,47,8,84,8,,,duration,0
295-128-bug车典APP测试_1470654436.csv,49,0,79,0,103,0,,,duration,0
296-128-车典APP测试_1463738082.csv,49,0,79,0,103,0,,,duration,10
299-197-bug每刻兼职测试_1470654441.csv,52,10,110,11,163,11,,,duration,6
3-145-手机卫士短信功能_1463737156.csv,51,6,60,6,72,9,,,duration,10
300-197-每刻兼职测试_1463738080.csv,52,10,110,11,163,11,,,duration,22
307-137-UONE_1463738088.csv,99,22,115,23,116,23,,,duration,22
308-137-bugUONE_1470654431.csv,99,22,115,23,116,23,,,duration,7
309-170-私人飞行测试_1463738093.csv,75,7,83,7,105,7,,,duration,7
310-170-bug私人飞行测试_1470654421.csv,75,7,83,7,105,7,,,duration,22
311-185-bug社区慧生活测试_1470654424.csv,46,22,76,37,94,37,,,duration,22
312-185-社区慧生活测试_1463738091.csv,46,22,76,37,94,37,,,duration,19
315-119-萌宠达人测试_1463738095.csv,40,19,73,19,101,19,,,duration,19
316-119-bug萌宠达人测试_1470654419.csv,40,19,73,19,101,19,,,duration,30
319-197-百叶小成测试_1463738097.csv,91,30,114,30,137,30,,,duration,30
320-197-bug百叶小成测试_1470654418.csv,91,30,114,30,137,30,,,duration,102
325-231-数英测试_1463738102.csv,71,102,100,107,113,107,,,duration,102
326-231-bug数英测试_1470654415.csv,71,102,100,107,113,107,,,duration,0
327-239-动起来测试_1463738068.csv,97,0,178,1,213,1,,,duration,0
328-239-bug动起来测试_1470654454.csv,97,0,178,1,213,1,,,duration,15
329-102-bug小说阅读网V1.0.8测试_1470654414.csv,43,15,48,15,63,15,,,duration,15
330-102-小说阅读网V1.0.8测试_1463738106.csv,43,15,48,15,63,15,,,duration,2
336-179-bugRulane SportV1.2.8测试_1470654410.csv,98,2,122,3,144,3,,,duration,0
337-255-bug4399游戏盒V3.3测试_1470654412.csv,96,0,136,0,165,0,,,duration,32
338-315-bug邻邻V1.3.4 build测试_1470654409.csv,110,32,131,32,270,33,,,duration,0
339-308-bugWhatchAppV1.0测试_1470654408.csv,118,0,226,2,236,2,,,duration,23
340-266-bug包头优生活V1.20.160426测试_1470654405.csv,139,23,179,23,238,24,,,duration,8
343-115-bug100赚V1.4测试_1470654401.csv,33,8,49,9,76,10,,,duration,0
346-214-bug徐水圈V1.0.160419测试_1470654402.csv,66,0,117,0,188,0,,,duration,0
347-370-bug指尖大学测试_1470654404.csv,105,0,147,0,212,0,,,duration,3
348-467-bug友服商城V1.0测试_1470654398.csv,158,3,194,3,415,3,,,duration,20
349-195-bug优悠校园V2.1.0.2628测试_1470654399.csv,112,20,126,25,150,25,,,duration,11
350-324-bugdr.wineV3.1.2测试_1470654390.csv,136,11,174,11,263,12,,,duration,12
351-123-bugFolderExplorerV1.0测试_1470654387.csv,47,12,82,13,96,13,,,duration,20
357-134-bug筑医台V1.2测试_1470654365.csv,78,20,90,23,94,23,,,duration,0
360-277-bug寻到宝V1.0.0测试_1470654368.csv,82,0,127,47,218,47,,,duration,44
361-155-bug德成贷V1.0测试_1470654375.csv,80,44,89,47,124,47,,,duration,4
362-172-bug一比分V1.1.0测试_1470654365.csv,89,4,108,4,146,4,,,duration,6
366-206-bug通辽碧桂园V2.07.160526测试_1470654364.csv,113,6,131,6,171,7,,,duration,114
383-112-bug行知宝V1.6.6测试_1470654355.csv,63,114,79,114,85,114,,,duration,37
389-141-bug好善乐购V2.1.0测试_1470654354.csv,61,37,67,37,90,37,,,duration,109
397-149-bug奇好云宝V1.0.0测试_1470654352.csv,83,109,100,109,112,109,,,duration,19
4-399-百度浏览器T7尝鲜版第二轮测试来袭_1463737217.csv,177,19,234,29,316,67,,,duration,59
403-197-bug点帮帮测试_1470654349.csv,104,59,135,59,175,59,,,duration,115
404-270-bug门诊大厅V2.6.5测试_1470654351.csv,108,115,133,115,220,115,,,duration,39
42-129-优房优派测试_1463737427.csv,49,39,60,49,81,122,,,duration,119
427-157-bug七彩乐居V1.1测试_1470654346.csv,78,119,105,119,115,119,,,duration,62
451-109-bug掌上110V1.0.0测试_1470654321.csv,45,62,59,62,92,62,,,duration,47
464-186-bug眼专家V1.3测试_1470654302.csv,103,47,128,47,160,47,,,duration,49
471-108-bug物通配货信息部V1.2.0测试_1470654300.csv,57,49,73,49,80,49,,,duration,40
472-114-bug佰职网V1.2.1测试_1470654299.csv,56,40,80,40,88,40,,,duration,36
479-122-bug有个性V1.0.3测试_1470654296.csv,58,36,81,36,97,36,,,duration,1
48-118-百度糯米6.0.2测试_1463737445.csv,25,1,27,1,75,10,,,duration,119
488-132-bug易秒微配客户端V1.0.0测试_1470654297.csv,32,119,76,119,79,119,,,duration,34
499-130-bug陶世界V1.0.1测试_1470654291.csv,37,34,53,34,61,34,,,duration,33
508-159-bug好园区VV1.0.5测试_1470654289.csv,59,33,92,33,118,33,,,duration,25
509-176-bug红猩猩V1.2测试_1470654287.csv,98,25,105,25,124,25,,,duration,38
533-166-bug知渔宝V1.3.0测试_1470654279.csv,109,38,123,38,139,38,,,duration,123
543-117-bug华数享看V2.1.0测试_1470654279.csv,65,123,67,123,100,123,,,duration,149
544-200-bug粤通卡V3.0.3测试_1470654280.csv,118,149,131,149,144,149,,,duration,33
557-106-bug成都基层平台V0.2.6测试_1470654272.csv,59,33,64,33,66,33,,,duration,2
6-144-百度天眼测试反馈_1463737257.csv,84,2,85,2,119,13,,,duration,15
65-111-夺宝猫测试_1463737499.csv,54,15,67,18,68,19,,,duration,17
67-138-法律易查测试_1463737508.csv,59,17,71,24,82,25,,,duration,13
7-127-百度手机卫士安全短信功能测试_1463737282.csv,35,13,48,15,68,27,,,duration,11
72-213-花友测试_1463737504.csv,55,11,69,13,103,17,,,duration,12
74-230-通星粉测试_1463737520.csv,79,12,126,15,156,18,,,duration,21
81-153-worker测试_1463737532.csv,103,21,110,24,126,41,,,duration,14
83-132-茄子医生测试_1463737528.csv,77,14,99,44,107,49,,,duration,39
87-123-听世界听书测试_1463737540.csv,57,39,63,41,75,43,,,duration,15
89-120-一起飞测试_1463737536.csv,37,15,48,21,83,44,,,duration,17
92-133-喵哆啦测试_1463737548.csv,56,17,78,24,112,39,,,duration,19
93-104-今日城市测试_1463737550.csv,57,19,68,25,82,72,,,duration,20
95-106-爱陪护测试_1463737556.csv,30,20,53,41,69,47,,,duration,22
97-107-淘特惠测试_1463737552.csv,43,22,62,36,64,42,,,duration,1
99-156-雅思君测试_1463737564.csv,27,1,54,10,87,13,,,,
