type,thres,value
cost,0.6,41
cost,0.7,58
cost,0.8,73
cost,0.9,108
cost,1,177
cost,0.6,29
cost,0.7,34
cost,0.8,49
cost,0.9,57
cost,1,72
cost,0.6,39
cost,0.7,41
cost,0.8,53
cost,0.9,92
cost,1,121
cost,0.6,15
cost,0.7,16
cost,0.8,24
cost,0.9,49
cost,1,66
cost,0.6,22
cost,0.7,27
cost,0.8,43
cost,0.9,58
cost,1,98
cost,0.6,71
cost,0.7,105
cost,0.8,123
cost,0.9,146
cost,1,212
cost,0.6,46
cost,0.7,53
cost,0.8,69
cost,0.9,93
cost,1,93
cost,0.6,49
cost,0.7,74
cost,0.8,92
cost,0.9,115
cost,1,157
cost,0.6,36
cost,0.7,39
cost,0.8,45
cost,0.9,65
cost,1,74
cost,0.6,38
cost,0.7,70
cost,0.8,78
cost,0.9,98
cost,1,131
cost,0.6,25
cost,0.7,55
cost,0.8,75
cost,0.9,82
cost,1,93
cost,0.6,47
cost,0.7,49
cost,0.8,68
cost,0.9,92
cost,1,121
cost,0.6,74
cost,0.7,100
cost,0.8,138
cost,0.9,163
cost,1,287
cost,0.6,31
cost,0.7,33
cost,0.8,37
cost,0.9,85
cost,1,99
cost,0.6,46
cost,0.7,62
cost,0.8,62
cost,0.9,83
cost,1,83
cost,0.6,60
cost,0.7,73
cost,0.8,106
cost,0.9,162
cost,1,237
cost,0.6,18
cost,0.7,25
cost,0.8,31
cost,0.9,39
cost,1,69
cost,0.6,94
cost,0.7,100
cost,0.8,114
cost,0.9,150
cost,1,234
cost,0.6,38
cost,0.7,41
cost,0.8,49
cost,0.9,62
cost,1,101
cost,0.6,29
cost,0.7,31
cost,0.8,35
cost,0.9,51
cost,1,106
cost,0.6,24
cost,0.7,26
cost,0.8,31
cost,0.9,37
cost,1,68
cost,0.6,38
cost,0.7,44
cost,0.8,60
cost,0.9,111
cost,1,190
cost,0.6,64
cost,0.7,69
cost,0.8,89
cost,0.9,130
cost,1,150
cost,0.6,51
cost,0.7,62
cost,0.8,94
cost,0.9,105
cost,1,153
cost,0.6,41
cost,0.7,51
cost,0.8,81
cost,0.9,110
cost,1,139
cost,0.6,22
cost,0.7,31
cost,0.8,44
cost,0.9,53
cost,1,74
cost,0.6,35
cost,0.7,48
cost,0.8,63
cost,0.9,101
cost,1,102
cost,0.6,18
cost,0.7,25
cost,0.8,46
cost,0.9,54
cost,1,72
cost,0.6,110
cost,0.7,118
cost,0.8,154
cost,0.9,157
cost,1,195
cost,0.6,42
