0,10,8
1,8,3
2,3,1
3,16,4
4,6,2
5,14,2
6,10,2
14,2,0
15,3,0
16,3,0
18,6,0
19,3,0
20,1,1
28,21,1
34,2,0
41,1,0
52,5,0
