rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,5,3-1,0.3693181818181818,0.9,0.5162595851229005,0.9,0.3,
2,9,4-1,0.6483516483516484,0.786442746317227,0.6705145252442373,0.9,0.3,
3,6,3-2,0.7118518518518518,0.748,0.6723492865773816,0.9,0.3,
4,13,5-1,0.7527233115468409,0.7027506366612962,0.6765227398451084,0.9,0.3,
5,7,3-3,0.818121693121693,0.6492307692307693,0.6884472715706564,0.9,0.3,
6,17,6-1,0.8242647058823529,0.6288659793814433,0.6695927806338402,0.9,0.3,
7,10,4-2,0.8255434782608695,0.648,0.6926536731634182,0.9,0.3,
8,8,3-4,0.85239651416122,0.5922330097087378,0.6642118005320117,0.9,0.3,
9,14,5-2,0.8571428571428571,0.551668340586988,0.6514527007551738,0.9,0.3,
10,21,7-1,0.8571428571428571,0.5806451612903225,0.6622575696432057,0.9,0.3,
11,11,4-3,0.8651515151515152,0.5561936013125512,0.6556183262101911,0.9,0.3,
12,18,6-2,0.896551724137931,0.4825008559363944,0.6293190368483652,0.9,0.3,
13,25,8-1,0.8973684210526316,0.5006834864922525,0.6327456252744543,0.9,0.3,
14,29,9-1,0.9055059523809523,0.4939677419354839,0.6212664277180406,0.9,0.3,
15,12,4-4,0.9102678571428571,0.4629302447323648,0.6064327485380117,0.9,0.3,
16,15,5-3,0.9102678571428571,0.4587628865979382,0.6152058593334815,0.9,0.3,
17,1,10-1,0.9154761904761904,0.4444444444444444,0.5973741794310722,0.9,0.3,
18,22,7-2,0.9177927927927928,0.4587628865979382,0.6024876911116869,0.9,0.3,
19,19,6-3,0.9285714285714286,0.4164443366480718,0.5656382335148216,0.9,0.3,
20,16,5-4,0.9354166666666667,0.3958228441465998,0.5462223489069127,0.9,0.3,
21,26,8-2,0.9363636363636364,0.39748953974895396,0.5507860408072248,0.9,0.3,
22,23,7-3,0.9473684210526315,0.3538400363553738,0.5144195589990397,0.9,0.3,
23,30,9-2,0.95,0.36856184905121986,0.5302562518233319,0.9,0.3,
24,20,6-4,0.9629629629629629,0.34458077709611457,0.5039879745366869,0.9,0.3,
25,2,10-2,0.967741935483871,0.29372754376576715,0.44222296547089546,0.9,0.3,
26,27,8-3,0.9687194525904204,0.2690355329949239,0.4171964880411747,0.9,0.3,
27,24,7-4,0.9701426024955437,0.23518518518518516,0.37830836755926106,0.9,0.3,
28,31,9-3,0.9813793103448276,0.16179392563156403,0.2777886817140989,0.9,0.3,
29,3,10-3,1.0,0.08712121212121215,0.1602564102564103,0.9,0.3,
30,4,10-4,1.0,0.05660377358490565,0.10714285714285712,0.9,0.3,
31,28,8-4,1.0,0.10800310800310803,0.19493670886075953,0.9,0.3,
32,32,9-4,1.0,0.05619783442364085,0.10641524695414788,0.9,0.3,
