rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,9,4-1,0.8518518518518519,0.5373467112597548,0.5470093211466689,0.9,0.3,
2,21,7-1,0.8775,0.4563106796116505,0.5382673144148444,0.9,0.3,
3,13,5-1,0.8786764705882353,0.49669842609901704,0.5679365814907984,0.9,0.3,
4,17,6-1,0.8786764705882353,0.4543233082706767,0.5740995937037665,0.9,0.3,
5,5,3-1,0.8798076923076923,0.4898701809598741,0.5552933636638413,0.9,0.3,
6,1,10-1,0.8811764705882352,0.4188458940461256,0.5254310119828686,0.9,0.3,
7,25,8-1,0.8944444444444444,0.4225487064835516,0.526271492728713,0.9,0.3,
8,29,9-1,0.9023809523809524,0.42766151046405826,0.5494985768817051,0.9,0.3,
9,6,3-2,0.9055059523809523,0.4367816091954023,0.5355337755107963,0.9,0.3,
10,15,5-3,0.9374389051808407,0.31901454142971647,0.4660748791920347,0.9,0.3,
11,7,3-3,0.9384469696969697,0.3787693609420171,0.5205716171213004,0.9,0.3,
12,11,4-3,0.9436507936507936,0.32940414949068236,0.4583119552024717,0.9,0.3,
13,14,5-2,0.9444444444444444,0.31472081218274117,0.4660748791920347,0.9,0.3,
14,8,3-4,0.9451951951951951,0.3126749657513848,0.4587165468697447,0.9,0.3,
15,18,6-2,0.9451951951951951,0.2866888680526367,0.4212995713240586,0.9,0.3,
16,10,4-2,0.945906432748538,0.3513330907956967,0.4898967856834986,0.9,0.3,
17,12,4-4,0.9473684210526315,0.2185257952714188,0.3564661261666803,0.9,0.3,
18,19,6-3,0.9480431848852902,0.267479674796748,0.41151563560159066,0.9,0.3,
19,22,7-2,0.9541666666666666,0.2432432432432432,0.3913043478260869,0.9,0.3,
20,32,9-4,0.9544513457556936,0.052631578947368474,0.09941520467836268,0.9,0.3,
21,31,9-3,0.957427536231884,0.14021367521367517,0.2446724289386068,0.9,0.3,
22,23,7-3,0.9611613876319759,0.2432432432432432,0.3790138037941979,0.9,0.3,
23,16,5-4,0.9618736383442266,0.20865959417361285,0.34103249023073684,0.9,0.3,
24,3,10-3,0.9629629629629629,0.06561898525705895,0.12308966691471217,0.9,0.3,
25,4,10-4,0.9629629629629629,0.04347826086956519,0.08321791320406273,0.9,0.3,
26,26,8-2,0.9629629629629629,0.2350383631713555,0.3737012630824478,0.9,0.3,
27,27,8-3,0.9636243386243386,0.13743112813098352,0.24163344206838222,0.9,0.3,
28,2,10-2,0.9642857142857143,0.13468823817800957,0.23739961229576298,0.9,0.3,
29,30,9-2,0.9687194525904204,0.1649484536082474,0.2831858407079646,0.9,0.3,
30,20,6-4,0.96875,0.11205594589270468,0.20141248937977904,0.9,0.3,
31,28,8-4,0.977865796831314,0.047351915697617764,0.09038035456264232,0.9,0.3,
32,24,7-4,0.9780952380952381,0.04930301370915835,0.09393449854328366,0.9,0.3,
