project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
2-471-∞Ÿ∂»‰Ø¿¿∆˜T7≥¢œ ÃÂ—È_1463737142.csv,51.0,58.0,0.8793103448275862,224.0,471.0,0.47558386411889597,0.524416135881104,0.6570005476308447,0.6570005476308447,397.0,-173.0,
29-150-–°∞◊”√≥µ_1463737383.csv,20.0,21.0,0.9523809523809523,144.0,150.0,0.96,0.040000000000000036,0.07677543186180429,0.07677543186180429,123.0,21.0,
48-118-∞Ÿ∂»≈¥√◊6.0.2≤‚ ‘_1463737445.csv,11.0,13.0,0.8461538461538461,64.0,118.0,0.5423728813559322,0.4576271186440678,0.5940000000000001,0.5940000000000001,76.0,-12.0,
89-120-“ª∆∑…≤‚ ‘_1463737536.csv,17.0,17.0,1.0,88.0,120.0,0.7333333333333333,0.2666666666666667,0.42105263157894746,0.42105263157894746,84.0,4.0,
92-133-ﬂ˜∂ﬂ¿≤≤‚ ‘_1463737548.csv,15.0,19.0,0.7894736842105263,88.0,133.0,0.6616541353383458,0.33834586466165417,0.4736842105263158,0.4736842105263158,113.0,-25.0,
95-106-∞Æ≈„ª§≤‚ ‘_1463737556.csv,12.0,14.0,0.8571428571428571,72.0,106.0,0.6792452830188679,0.3207547169811321,0.46681922196796344,0.46681922196796344,70.0,2.0,
97-107-Ã‘Ãÿª›≤‚ ‘_1463737552.csv,14.0,15.0,0.9333333333333333,72.0,107.0,0.6728971962616822,0.3271028037383178,0.4844290657439446,0.4844290657439446,65.0,7.0,
98-117-øÏ¿÷¬˙“‚≈ƒ≤‚ ‘_1463737558.csv,16.0,16.0,1.0,104.0,117.0,0.8888888888888888,0.11111111111111116,0.20000000000000007,0.20000000000000007,59.0,45.0,
99-156-—≈Àºæ˝≤‚ ‘_1463737564.csv,20.0,22.0,0.9090909090909091,80.0,156.0,0.5128205128205128,0.4871794871794872,0.6343906510851419,0.6343906510851419,88.0,-8.0,
122-138-π∫ŒÔøÒ≤‚ ‘_1463737645.csv,16.0,18.0,0.8888888888888888,88.0,138.0,0.6376811594202898,0.3623188405797102,0.5148005148005149,0.5148005148005149,100.0,-12.0,
128-115-µ∞µ∞◊¨≤‚ ‘_1463737676.csv,14.0,14.0,1.0,112.0,115.0,0.9739130434782609,0.02608695652173909,0.05084745762711857,0.05084745762711857,102.0,10.0,
130-136-÷’º´ ÷µÁÕ≤≤‚ ‘_1463737660.csv,19.0,19.0,1.0,120.0,136.0,0.8823529411764706,0.11764705882352944,0.21052631578947373,0.21052631578947373,107.0,13.0,
