capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,13,57,21,22,17,21,20,
28,19,57,38,56,33,43,38,
35,22,57,36,36,29,32,38,
42,23,57,32,35,30,33,39,
49,27,57,38,47,38,44,50,
56,32,57,48,59,49,55,63,
63,35,57,52,72,76,174,82,
70,35,57,47,58,57,72,72,
77,37,57,49,61,62,77,77,
84,39,57,50,60,58,65,75,
91,41,57,52,62,57,61,73,
98,41,57,49,55,52,54,64,
105,41,57,47,50,48,49,55,
112,41,57,46,48,46,47,51,
119,41,57,45,47,44,44,40,
126,41,57,44,45,43,43,32,
133,43,57,46,49,46,46,45,
140,44,57,48,50,48,49,50,
147,44,57,47,51,49,50,55,
154,45,57,48,53,51,53,62,
161,45,57,48,53,53,57,68,
168,46,57,49,54,55,60,72,
175,46,57,48,54,53,55,66,
182,47,57,49,55,53,55,64,
189,47,57,49,52,50,51,56,
196,48,57,50,52,50,51,52,
203,50,57,52,56,54,55,62,
210,50,57,52,56,54,55,61,
217,51,57,53,57,54,55,57,
224,51,57,52,55,53,54,53,
231,51,57,52,55,53,53,47,
238,51,57,52,55,53,53,47,
245,51,57,52,54,52,52,44,
252,51,57,52,53,52,52,37,
259,54,57,55,58,56,57,56,
266,54,57,55,58,56,56,52,
273,54,57,54,55,54,54,34,
280,54,57,55,55,54,54,36,
287,54,57,54,55,54,54,35,
294,54,57,54,55,54,54,39,
301,54,57,54,55,55,54,44,
308,54,57,54,55,54,54,33,
315,55,57,55,56,55,55,35,
322,55,57,55,56,55,55,34,
329,55,57,55,56,55,55,44,
336,55,57,55,56,55,55,43,
343,55,57,55,56,55,55,46,
350,55,57,55,55,55,55,43,
357,55,57,55,55,55,55,42,
364,56,57,56,56,56,56,48,
371,56,57,56,56,56,56,47,
378,57,57,57,58,57,57,51,
385,57,57,57,58,57,57,54,
392,57,57,57,57,57,57,52,
399,57,57,57,57,57,57,56,
406,57,57,57,57,57,57,60,
413,57,57,57,57,57,57,58,
420,57,57,57,56,57,57,55,
427,57,57,57,56,57,57,55,
434,57,57,57,56,57,57,58,
441,57,57,57,56,57,57,56,
448,57,57,57,56,57,57,55,
455,57,57,57,56,57,57,54,
462,57,57,57,56,57,57,57,
