capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,17,99,52,37,32,49,30,
28,22,99,76,68,55,82,49,
35,27,99,105,159,101,225,68,
42,32,99,132,149,111,183,85,
49,33,99,72,85,76,112,80,
56,34,99,66,79,74,112,81,
63,36,99,56,61,59,71,75,
70,41,99,67,73,74,92,91,
77,44,99,67,75,76,90,96,
84,48,99,74,86,92,119,111,
91,50,99,75,81,81,93,105,
98,51,99,72,78,78,86,102,
105,51,99,70,79,86,106,111,
112,51,99,65,68,68,73,90,
119,53,99,68,73,75,81,97,
126,55,99,68,72,72,76,93,
133,57,99,70,71,71,74,88,
140,57,99,69,71,70,72,86,
147,58,99,70,73,72,75,89,
154,58,99,69,72,70,72,83,
161,59,99,69,72,70,71,78,
168,61,99,71,74,71,72,74,
175,62,99,72,76,74,75,82,
182,66,99,78,83,80,82,91,
189,68,99,80,85,81,82,88,
196,68,99,78,81,77,78,71,
203,69,99,78,80,76,76,62,
210,70,99,79,81,77,77,63,
217,70,99,78,80,76,77,64,
224,73,99,81,83,80,80,67,
231,74,99,81,82,78,78,48,
238,76,99,84,86,82,82,66,
245,77,99,84,85,82,83,65,
252,77,99,84,86,83,83,68,
259,78,99,85,87,83,84,66,
266,80,99,87,90,86,86,66,
273,81,99,88,92,88,89,83,
280,81,99,87,91,87,87,79,
287,81,99,87,90,87,88,81,
294,83,99,89,93,92,93,99,
301,83,99,88,91,90,90,91,
308,83,99,88,91,89,90,93,
315,84,99,89,92,91,92,94,
322,86,99,91,94,93,93,93,
329,86,99,91,94,94,94,100,
336,86,99,90,92,92,92,92,
343,86,99,90,92,92,92,92,
350,87,99,92,93,92,93,89,
357,87,99,91,94,92,93,88,
364,87,99,91,94,93,93,95,
371,87,99,90,94,92,92,93,
378,87,99,91,94,92,92,93,
385,87,99,90,94,92,92,93,
392,88,99,92,95,94,95,100,
399,88,99,91,93,92,92,89,
406,88,99,91,93,93,93,99,
413,88,99,91,93,92,92,92,
420,88,99,91,93,92,93,95,
427,89,99,92,94,93,94,96,
434,89,99,91,93,92,92,85,
441,92,99,95,97,96,96,94,
448,93,99,96,99,97,97,92,
455,93,99,96,99,97,97,95,
462,95,99,98,101,100,100,103,
469,95,99,98,101,100,100,104,
476,95,99,98,101,100,100,104,
483,96,99,99,102,102,102,110,
490,96,99,99,103,102,103,113,
497,96,99,98,102,102,102,115,
504,97,99,100,103,102,103,113,
511,98,99,101,105,104,105,118,
518,98,99,101,105,104,105,117,
525,98,99,101,105,104,105,116,
532,98,99,100,105,104,104,113,
539,98,99,100,105,104,105,116,
546,98,99,100,105,104,105,115,
553,98,99,100,105,104,105,119,
560,98,99,100,105,105,106,122,
567,98,99,100,105,105,106,120,
574,98,99,100,103,103,103,113,
581,98,99,99,103,102,102,110,
588,98,99,99,101,100,100,102,
595,98,99,99,101,100,100,102,
602,98,99,99,102,100,100,101,
609,98,99,99,102,101,101,104,
616,98,99,99,102,101,101,107,
623,98,99,99,101,100,100,105,
630,98,99,99,101,100,101,109,
637,98,99,99,101,100,100,108,
644,98,99,99,101,100,100,106,
651,98,99,99,101,99,99,104,
658,98,99,99,101,99,99,103,
665,98,99,99,101,99,99,102,
672,98,99,99,101,99,99,106,
679,98,99,98,101,100,100,112,
686,99,99,99,102,101,101,114,
693,99,99,99,102,101,101,113,
700,99,99,99,102,101,101,117,
707,99,99,99,101,101,101,115,
714,99,99,99,100,100,100,107,
721,99,99,99,100,100,100,111,
728,99,99,99,100,100,100,109,
735,99,99,99,100,100,100,109,
742,99,99,99,100,100,100,112,
749,99,99,99,100,99,99,109,
756,99,99,99,100,99,99,109,
763,99,99,99,100,100,100,115,
770,99,99,99,100,100,100,118,
777,99,99,99,100,100,100,118,
784,99,99,99,100,100,102,122,
791,99,99,99,100,100,101,120,
