capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,8,41,10,9,9,10,12,
28,9,41,10,10,9,10,11,
35,10,41,11,12,11,11,13,
42,13,41,15,17,15,16,18,
49,17,41,22,33,23,27,31,
56,21,41,29,43,33,39,42,
63,23,41,31,48,35,39,45,
70,24,41,30,39,30,32,38,
77,25,41,31,43,33,35,42,
84,26,41,33,48,36,40,48,
91,27,41,35,51,39,44,52,
98,29,41,36,49,36,38,45,
105,30,41,36,45,34,35,37,
112,30,41,34,44,36,37,44,
119,31,41,36,45,38,40,46,
126,31,41,35,47,40,43,51,
133,33,41,37,50,44,47,56,
140,34,41,37,48,42,44,52,
147,35,41,39,52,46,49,58,
154,36,41,39,50,44,46,54,
161,36,41,39,50,42,43,49,
168,37,41,40,49,42,43,48,
175,37,41,40,49,44,46,54,
182,38,41,41,54,47,51,61,
189,38,41,40,50,43,44,50,
196,38,41,40,46,41,42,46,
203,38,41,39,44,39,39,34,
210,40,41,41,46,41,41,34,
217,40,41,41,43,40,40,30,
224,41,41,42,45,42,42,39,
231,41,41,42,45,42,42,46,
238,41,41,41,43,42,42,39,
245,41,41,41,44,42,42,39,
252,41,41,41,43,41,41,39,
259,41,41,41,43,41,41,37,
266,41,41,41,43,42,41,44,
273,41,41,41,42,41,41,42,
280,41,41,41,42,41,41,35,
287,41,41,41,42,41,41,32,
294,41,41,41,42,41,41,35,
301,41,41,41,42,41,41,38,
308,41,41,41,42,41,41,38,
315,41,41,41,42,41,41,41,
322,41,41,41,42,41,41,41,
329,41,41,41,42,41,41,41,
