capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,34,0,0,0,0,0,
28,0,34,0,0,0,0,0,
35,3,34,2,0,5,7,8,
42,7,34,10,0,25,31,21,
49,8,34,15,17,12,17,18,
56,12,34,35,36,25,37,31,
63,14,34,44,49,34,50,38,
70,15,34,36,45,35,55,41,
77,15,34,27,36,32,55,39,
84,15,34,30,35,32,54,39,
91,16,34,29,31,29,38,39,
98,17,34,27,33,27,32,37,
105,18,34,26,28,25,28,33,
112,21,34,32,38,33,37,44,
119,23,34,30,29,27,28,26,
126,25,34,34,34,31,33,36,
133,25,34,33,32,30,31,31,
140,26,34,34,33,31,32,33,
147,28,34,34,35,32,33,32,
154,29,34,36,36,35,37,42,
161,30,34,35,35,35,36,42,
168,31,34,35,35,35,36,41,
175,32,34,36,37,38,39,46,
182,32,34,36,37,38,39,45,
189,32,34,35,36,36,36,38,
196,33,34,36,38,37,38,41,
203,33,34,36,37,38,39,43,
210,33,34,36,37,38,40,45,
217,33,34,35,37,39,41,49,
224,33,34,35,37,39,41,50,
231,33,34,35,36,37,38,44,
238,33,34,35,36,37,38,43,
245,34,34,36,37,43,50,57,
252,34,34,35,35,36,37,40,
259,34,34,35,35,37,39,46,
266,34,34,34,35,36,38,46,
273,34,34,34,35,36,38,45,
280,34,34,34,35,36,38,44,
287,34,34,34,35,39,56,51,
