capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,9,10,14,42,14,27,15,
28,9,10,14,30,14,75,17,
35,9,10,12,18,12,16,16,
42,10,10,14,22,14,20,20,
49,10,10,14,22,14,20,20,
56,10,10,14,22,14,20,21,
63,10,10,13,21,15,20,21,
70,10,10,13,21,17,53,23,
77,10,10,12,16,13,17,19,
84,10,10,12,16,13,17,19,
91,10,10,11,14,12,15,18,
98,10,10,11,14,12,14,17,
105,10,10,11,14,12,14,17,
112,10,10,11,14,12,14,17,
119,10,10,11,14,13,26,20,
126,10,10,11,14,13,25,20,
