capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,11,28,21,17,16,21,18,
28,12,28,25,22,19,25,24,
35,14,28,24,29,23,32,29,
42,15,28,21,22,20,25,27,
49,15,28,19,22,21,31,29,
56,16,28,20,20,19,21,25,
63,18,28,21,20,20,20,19,
70,18,28,21,19,19,19,16,
77,20,28,23,23,22,23,22,
84,20,28,23,24,22,23,25,
91,20,28,22,23,22,23,25,
98,21,28,24,25,24,25,28,
105,21,28,23,26,23,23,23,
112,22,28,24,27,24,24,25,
119,23,28,26,28,26,26,29,
126,24,28,27,31,27,28,32,
133,24,28,26,29,26,27,30,
140,25,28,27,30,29,30,35,
147,25,28,27,30,29,30,34,
154,25,28,27,30,30,31,37,
161,25,28,27,30,30,31,37,
168,27,28,30,36,34,37,44,
175,27,28,30,36,34,37,44,
182,27,28,29,33,30,31,34,
189,28,28,31,37,32,33,37,
196,28,28,30,37,34,36,43,
203,28,28,30,35,32,33,37,
210,28,28,30,35,32,33,37,
217,28,28,30,35,30,31,32,
224,28,28,29,32,30,30,29,
231,28,28,29,32,30,31,31,
238,28,28,29,32,30,31,33,
