capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,12,18,16,18,14,16,17,
28,13,18,16,21,15,17,20,
35,14,18,16,21,17,22,22,
42,16,18,18,24,20,26,27,
49,17,18,19,24,23,36,30,
56,17,18,18,20,19,20,22,
63,17,18,17,19,18,19,20,
70,18,18,19,21,21,24,27,
77,18,18,18,19,20,22,24,
84,18,18,18,19,20,22,24,
91,18,18,18,18,18,18,17,
98,18,18,18,18,18,19,19,
105,18,18,18,18,18,18,15,
112,18,18,18,17,18,18,12,
119,18,18,18,17,18,18,14,
126,18,18,18,17,18,18,16,
