capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,16,12,13,11,12,13,
28,12,16,14,17,14,15,17,
35,13,16,15,20,15,20,20,
42,15,16,17,20,17,18,21,
49,15,16,15,16,16,15,15,
56,15,16,15,16,16,19,20,
63,15,16,15,16,15,16,17,
70,16,16,16,17,16,17,18,
77,16,16,16,17,16,20,20,
84,16,16,16,16,17,18,22,
91,16,16,16,16,17,18,22,
98,16,16,16,16,17,18,22,
105,16,16,16,16,16,16,20,
112,16,16,16,16,16,16,17,
