capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,18,13,21,14,19,16,
28,10,18,12,21,13,18,16,
35,10,18,10,11,10,10,9,
42,11,18,12,13,12,12,12,
49,13,18,14,17,14,14,14,
56,13,18,13,15,13,13,8,
63,14,18,15,15,14,14,7,
70,15,18,16,17,15,15,10,
77,15,18,16,16,15,15,5,
84,15,18,15,14,15,15,5,
91,15,18,15,15,15,15,7,
98,16,18,16,16,16,16,7,
105,18,18,18,19,18,18,11,
112,18,18,18,17,18,18,6,
119,18,18,18,17,18,18,8,
126,18,18,18,17,18,18,11,
