capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,26,14,177,25,34,17,
28,13,26,20,39,26,166,26,
35,16,26,22,29,22,26,29,
42,19,26,25,32,27,36,35,
49,20,26,25,37,44,80,44,
56,21,26,24,27,27,31,37,
63,23,26,27,31,33,51,43,
70,23,26,25,27,26,29,33,
77,24,26,25,26,25,25,25,
84,24,26,25,24,25,25,21,
91,24,26,24,24,24,24,21,
98,25,26,25,25,25,25,20,
105,25,26,25,25,25,25,21,
112,25,26,25,25,25,25,26,
119,25,26,25,25,25,25,27,
126,25,26,25,25,25,25,27,
133,25,26,25,25,25,27,29,
140,25,26,25,25,25,26,28,
147,25,26,25,25,25,25,27,
154,25,26,25,25,25,25,27,
161,26,26,26,26,26,29,31,
168,26,26,26,26,26,26,24,
175,26,26,26,26,26,26,24,
182,26,26,26,26,26,26,24,
189,26,26,26,25,26,26,22,
196,26,26,26,25,26,26,22,
203,26,26,26,25,26,26,24,
210,26,26,26,25,26,26,24,
