capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,15,0,0,0,0,0,
28,0,15,0,0,0,0,0,
35,0,15,0,0,0,0,0,
42,0,15,0,0,0,0,0,
49,0,15,0,0,0,0,0,
56,4,15,3,0,9,12,13,
63,8,15,20,55,27,32,24,
70,10,15,13,14,12,14,17,
77,12,15,13,13,12,12,9,
84,14,15,15,16,16,19,22,
91,14,15,15,15,16,19,22,
98,15,15,15,15,16,16,18,
105,15,15,15,15,16,19,24,
112,15,15,15,15,15,15,16,
