capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,33,0,0,0,0,0,
28,0,33,0,0,0,0,0,
35,0,33,0,0,0,0,0,
42,0,33,0,0,0,0,0,
49,0,33,0,0,0,0,0,
56,0,33,0,0,0,0,0,
63,4,33,4,8,6,8,9,
70,9,33,15,16,12,15,18,
77,13,33,21,21,18,21,25,
84,18,33,30,29,25,28,34,
91,21,33,33,31,29,31,37,
98,23,33,33,34,30,32,37,
105,25,33,32,32,30,31,35,
112,27,33,34,34,32,33,39,
119,28,33,32,32,31,32,33,
126,29,33,33,34,34,36,44,
133,29,33,32,34,33,35,41,
140,31,33,34,36,36,38,45,
147,31,33,33,34,33,33,32,
154,31,33,32,34,34,36,44,
161,31,33,32,32,33,33,38,
168,32,33,33,33,37,55,51,
175,32,33,32,33,35,45,48,
182,32,33,32,33,34,35,41,
189,32,33,32,32,34,34,39,
196,32,33,32,32,32,32,26,
203,32,33,32,32,32,32,28,
210,32,33,32,32,32,32,28,
217,32,33,32,32,32,32,27,
224,33,33,33,33,33,33,30,
231,33,33,33,33,33,33,29,
238,33,33,33,33,33,33,26,
245,33,33,33,33,33,33,26,
252,33,33,33,33,33,33,29,
259,33,33,33,33,33,33,32,
266,33,33,33,33,33,33,32,
