capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,12,46,24,276,24,52,21,
28,15,46,23,32,22,60,27,
35,15,46,21,22,20,26,26,
42,18,46,26,28,26,39,34,
49,20,46,28,38,39,259,44,
56,24,46,33,37,35,45,47,
63,28,46,40,52,52,79,62,
70,29,46,39,43,41,45,53,
77,31,46,41,51,52,65,65,
84,31,46,38,49,53,71,65,
91,31,46,36,41,43,51,56,
98,33,46,38,43,50,70,65,
105,36,46,42,49,58,83,73,
112,38,46,45,52,59,73,75,
119,39,46,44,48,53,61,69,
126,39,46,43,47,53,64,70,
133,39,46,42,45,48,53,63,
140,40,46,43,47,49,54,64,
147,41,46,44,46,48,50,60,
154,42,46,45,47,48,51,61,
161,43,46,46,48,49,51,60,
168,44,46,47,50,52,55,67,
175,44,46,47,50,53,57,68,
182,44,46,47,51,53,57,68,
189,44,46,46,48,49,51,60,
196,45,46,47,49,50,52,61,
203,45,46,46,47,47,48,51,
210,45,46,46,47,46,47,45,
217,46,46,47,48,49,50,59,
224,46,46,47,48,48,50,59,
231,46,46,46,47,48,48,56,
238,46,46,46,47,48,49,58,
245,46,46,46,47,48,51,61,
252,46,46,46,46,47,47,53,
259,46,46,46,46,47,47,51,
266,46,46,46,46,47,47,54,
273,46,46,46,46,47,47,53,
280,46,46,46,46,48,57,59,
287,46,46,46,46,48,53,57,
294,46,46,46,46,46,47,51,
301,46,46,46,46,46,47,51,
308,46,46,46,46,46,47,51,
315,46,46,46,46,46,47,51,
322,46,46,46,46,46,46,45,
329,46,46,46,46,46,46,45,
336,46,46,46,46,46,46,44,
343,46,46,46,45,46,46,41,
350,46,46,46,45,46,46,39,
357,46,46,46,45,46,46,39,
364,46,46,46,45,46,46,39,
