capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,5,21,6,10,7,13,9,
28,7,21,10,20,13,25,15,
35,10,21,18,21,16,25,21,
42,11,21,15,17,14,17,20,
49,13,21,20,25,21,39,28,
56,14,21,19,23,22,48,30,
63,14,21,18,23,22,32,30,
70,15,21,19,23,22,25,29,
77,15,21,18,18,17,18,20,
84,17,21,19,20,19,20,23,
91,18,21,19,20,20,26,28,
98,19,21,20,20,21,22,26,
105,19,21,20,21,21,24,28,
112,20,21,21,24,24,28,32,
119,20,21,21,24,25,38,35,
126,21,21,22,24,24,28,33,
133,21,21,21,21,22,21,19,
140,21,21,21,21,22,22,25,
147,21,21,21,21,21,21,19,
