capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,9,24,14,17,11,13,14,
28,13,24,17,15,15,16,19,
35,14,24,17,19,17,22,22,
42,15,24,18,18,17,19,22,
49,19,24,26,27,26,32,34,
56,19,24,24,24,24,25,31,
63,20,24,26,28,26,28,33,
70,21,24,26,27,25,26,28,
77,21,24,26,25,24,24,23,
84,21,24,24,23,23,23,21,
91,21,24,24,24,23,24,22,
98,21,24,24,24,23,24,22,
105,21,24,23,24,23,23,20,
112,22,24,24,23,23,23,22,
119,22,24,23,24,23,23,16,
126,22,24,23,24,23,23,16,
133,22,24,23,24,23,23,22,
140,22,24,22,22,22,22,23,
147,22,24,22,22,23,23,25,
154,22,24,22,22,22,22,18,
161,22,24,22,22,22,22,21,
168,22,24,22,22,22,22,22,
175,23,24,23,23,23,23,24,
182,23,24,23,22,23,23,20,
189,23,24,23,22,23,23,19,
196,24,24,24,24,24,24,23,
203,24,24,24,24,24,24,23,
210,24,24,24,24,24,24,22,
217,24,24,24,24,24,24,22,
