capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,16,25,36,26,25,34,27,
28,17,25,28,27,23,27,29,
35,18,25,22,20,20,21,23,
42,19,25,22,20,20,20,19,
49,20,25,23,23,21,22,22,
56,20,25,21,21,21,22,23,
63,21,25,22,22,22,23,26,
70,22,25,22,22,22,22,12,
77,23,25,24,23,23,23,22,
84,23,25,23,23,24,23,23,
91,24,25,24,24,25,25,27,
98,25,25,25,25,26,27,30,
105,25,25,25,25,26,27,31,
112,25,25,25,25,26,27,31,
119,25,25,25,25,26,27,30,
126,25,25,25,25,26,29,32,
133,25,25,25,25,25,27,31,
140,25,25,25,25,25,25,28,
147,25,25,25,25,25,25,26,
154,25,25,25,24,25,25,22,
161,25,25,25,24,25,25,21,
168,25,25,25,24,25,25,21,
175,25,25,25,25,25,25,26,
182,25,25,25,25,25,25,25,
