capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,12,36,16,45,15,18,18,
28,15,36,18,20,17,20,21,
35,17,36,19,18,18,18,20,
42,22,36,27,26,26,28,32,
49,23,36,26,25,25,25,24,
56,24,36,26,24,25,24,15,
63,27,36,31,29,28,28,20,
70,28,36,31,30,29,29,22,
77,29,36,31,29,29,29,12,
84,29,36,30,29,29,29,13,
91,30,36,31,30,30,30,14,
98,31,36,32,31,31,31,12,
105,32,36,33,32,32,32,24,
112,33,36,34,33,34,33,25,
119,34,36,35,34,34,34,16,
126,34,36,34,34,34,34,22,
133,34,36,34,34,34,34,28,
140,34,36,34,33,34,34,21,
147,34,36,34,33,34,34,27,
154,35,36,35,34,35,35,28,
161,35,36,35,34,35,35,33,
168,35,36,35,34,35,35,33,
175,35,36,35,34,35,35,31,
182,36,36,36,35,36,36,29,
189,36,36,36,35,36,36,39,
196,36,36,36,35,36,36,38,
203,36,36,36,36,36,36,41,
210,36,36,36,35,36,36,40,
217,36,36,36,35,36,36,38,
224,36,36,36,35,36,36,37,
231,36,36,36,35,36,36,37,
238,36,36,36,35,36,36,37,
245,36,36,36,35,36,36,38,
252,36,36,36,36,36,36,40,
259,36,36,36,36,36,36,39,
266,36,36,36,36,36,36,39,
273,36,36,36,36,36,36,39,
280,36,36,36,36,36,36,39,
