capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,24,0,0,0,0,0,
28,0,24,0,0,0,0,0,
35,0,24,0,0,0,0,0,
42,0,24,0,0,0,0,0,
49,0,24,0,0,0,0,0,
56,0,24,0,0,0,0,0,
63,4,24,0,0,4,12,13,
70,7,24,0,15,8,11,13,
77,10,24,0,18,11,13,14,
84,12,24,0,17,13,15,17,
91,16,24,0,22,18,20,22,
98,17,24,0,22,19,19,18,
105,20,24,0,27,24,27,33,
112,20,24,36,26,23,25,30,
119,21,24,21,23,22,22,16,
126,21,24,21,24,22,22,21,
133,22,24,22,25,24,27,32,
140,22,24,22,25,23,24,26,
147,23,24,23,27,25,26,29,
154,23,24,24,25,24,25,26,
161,24,24,24,26,25,26,26,
168,24,24,24,26,25,26,26,
175,24,24,24,25,24,24,19,
182,24,24,24,25,24,24,22,
