capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,20,0,0,0,0,0,
28,0,20,0,0,0,0,0,
35,4,20,0,0,4,12,11,
42,8,20,0,14,10,12,14,
49,12,20,0,15,14,15,16,
56,15,20,15,19,17,19,22,
63,16,20,16,18,17,17,17,
70,18,20,19,20,19,20,22,
77,18,20,18,19,18,20,22,
84,18,20,18,19,19,20,26,
91,20,20,20,21,23,33,31,
98,20,20,20,22,21,23,26,
105,20,20,20,20,21,24,26,
112,20,20,20,20,20,20,17,
119,20,20,20,19,20,20,13,
126,20,20,20,19,20,20,19,
133,20,20,20,19,20,20,21,
140,20,20,20,19,20,20,20,
