capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,7,17,8,7,8,9,10,
28,7,17,7,6,7,7,7,
35,9,17,14,10,10,11,13,
42,10,17,12,12,11,12,15,
49,11,17,11,12,11,12,12,
56,12,17,13,13,12,12,11,
63,12,17,13,13,12,13,13,
70,15,17,18,21,17,19,23,
77,15,17,18,19,16,17,18,
84,15,17,17,18,16,17,19,
91,15,17,16,15,15,15,9,
98,16,17,20,17,16,16,15,
105,16,17,20,17,16,16,13,
112,16,17,20,17,16,16,11,
119,16,17,17,16,16,16,5,
126,17,17,17,17,17,17,7,
133,17,17,17,17,17,17,16,
140,17,17,17,17,17,17,15,
147,17,17,17,17,17,17,14,
154,17,17,17,17,17,17,13,
