capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,8,21,10,32,15,20,13,
28,9,21,10,12,9,15,12,
35,12,21,18,16,14,16,18,
42,13,21,16,19,16,34,21,
49,14,21,18,20,18,26,25,
56,14,21,15,15,15,21,19,
63,16,21,18,18,18,24,26,
70,17,21,19,20,22,137,29,
77,17,21,18,18,18,21,22,
84,17,21,18,17,18,19,23,
91,18,21,18,18,18,18,16,
98,19,21,19,19,19,19,14,
105,19,21,19,19,19,19,16,
112,19,21,19,19,19,19,19,
119,20,21,20,20,20,21,23,
126,21,21,21,21,22,23,28,
133,21,21,21,21,21,21,26,
140,21,21,21,20,21,21,21,
147,21,21,21,20,21,21,19,
