capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,9,14,15,30,13,23,15,
28,10,14,12,14,11,16,14,
35,10,14,10,11,10,11,11,
42,11,14,12,12,12,13,15,
49,11,14,11,13,12,15,17,
56,11,14,11,12,14,15,18,
63,12,14,12,13,14,24,18,
70,13,14,13,14,14,55,20,
77,13,14,13,14,14,22,19,
84,14,14,14,15,16,22,21,
91,14,14,14,14,14,17,18,
98,14,14,14,14,14,14,16,
