capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,5,21,8,12,6,13,9,
28,7,21,10,20,12,25,15,
35,10,21,30,22,16,25,21,
42,11,21,16,17,14,17,20,
49,13,21,17,25,22,39,28,
56,14,21,20,24,23,48,30,
63,14,21,20,24,23,32,30,
70,15,21,33,23,22,25,29,
77,15,21,22,18,17,18,20,
84,17,21,21,20,19,20,23,
91,18,21,21,20,20,26,28,
98,19,21,21,20,21,22,26,
105,19,21,21,21,22,24,28,
112,20,21,23,24,24,28,32,
119,20,21,23,24,25,38,35,
126,21,21,24,24,25,28,33,
133,21,21,23,21,22,21,19,
140,21,21,24,21,22,22,25,
147,21,21,23,21,21,21,19,
