capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,13,26,20,44,18,37,20,
28,13,26,13,18,15,17,20,
35,16,26,18,22,18,20,23,
42,19,26,26,28,24,27,31,
49,19,26,22,24,22,23,26,
56,21,26,26,26,23,24,26,
63,23,26,26,26,24,24,20,
70,24,26,25,25,24,24,15,
77,24,26,24,23,24,24,7,
84,24,26,24,23,24,24,4,
91,24,26,24,23,24,24,7,
98,25,26,25,25,25,25,18,
105,26,26,26,26,26,26,26,
112,26,26,26,26,26,26,24,
119,26,26,26,26,26,26,28,
126,26,26,26,26,26,26,26,
133,26,26,26,25,26,26,23,
140,26,26,26,25,26,26,21,
147,26,26,26,25,26,26,21,
154,26,26,26,25,26,26,23,
161,26,26,26,25,26,26,22,
168,26,26,26,25,26,26,24,
175,26,26,26,25,26,26,24,
182,26,26,26,25,26,26,24,
189,26,26,26,25,26,26,24,
196,26,26,26,25,26,26,24,
203,26,26,26,26,26,26,28,
210,26,26,26,26,26,26,28,
