capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,16,28,60,26,25,34,27,
28,18,28,26,29,26,32,33,
35,21,28,32,29,28,31,36,
42,22,28,32,25,24,26,28,
49,22,28,26,23,23,23,22,
56,23,28,24,25,25,26,29,
63,23,28,24,25,25,27,30,
70,24,28,26,28,27,29,33,
77,24,28,26,25,25,26,24,
84,24,28,27,26,26,26,27,
91,25,28,27,26,26,26,21,
98,25,28,27,25,25,25,18,
105,25,28,26,25,25,25,18,
112,26,28,27,26,26,26,22,
119,26,28,27,26,26,26,23,
126,26,28,26,26,26,26,28,
133,26,28,26,26,26,26,22,
140,26,28,26,26,26,26,28,
147,26,28,26,26,26,29,31,
154,27,28,27,27,28,33,34,
161,27,28,27,27,28,31,33,
168,28,28,28,28,28,29,32,
175,28,28,28,28,28,31,34,
182,28,28,28,28,29,30,37,
189,28,28,28,28,29,30,37,
196,28,28,28,28,29,30,37,
