capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,25,16,30,11,12,14,
28,13,25,25,18,14,20,18,
35,14,25,30,16,15,16,19,
42,14,25,19,16,16,18,20,
49,15,25,26,17,16,17,20,
56,16,25,18,19,19,20,23,
63,19,25,24,24,25,31,33,
70,20,25,26,25,28,41,36,
77,22,25,26,25,25,26,30,
84,22,25,24,24,23,23,21,
91,22,25,24,24,23,24,23,
98,22,25,24,24,24,25,27,
105,22,25,23,22,22,22,18,
112,22,25,22,22,22,22,18,
119,23,25,23,23,24,25,26,
126,23,25,23,23,24,25,29,
133,23,25,23,23,24,24,24,
140,23,25,23,23,23,23,24,
147,23,25,23,23,24,29,30,
154,23,25,23,23,24,25,31,
161,23,25,23,23,24,25,31,
168,23,25,23,23,24,25,31,
175,23,25,23,23,24,25,30,
182,24,25,24,24,27,28,34,
189,25,25,25,25,28,29,36,
196,25,25,25,25,26,27,30,
203,25,25,25,25,26,27,33,
210,25,25,25,25,26,27,33,
