method,performance
M0,0.64084507
Mth,0.887323944
MtCH,0.64084507
MhCH,0.64084507
MhJK,1
M0,0.641666667
Mth,0.991666667
MtCH,0.641666667
MhCH,0.641666667
MhJK,1
M0,0.596412556
Mth,0.659192825
MtCH,0.816143498
MhCH,0.847533632
MhJK,1
M0,0.67961165
Mth,0.951456311
MtCH,0.747572816
MhCH,0.747572816
MhJK,1
M0,0.603448276
Mth,0.965517241
MtCH,0.603448276
MhCH,0.643678161
MhJK,1
M0,0.797794118
Mth,1
MtCH,0.900735294
MhCH,0.900735294
MhJK,1
M0,1
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.668049793
Mth,1
MtCH,0.755186722
MhCH,0.755186722
MhJK,1
M0,0.647058824
Mth,0.647058824
MtCH,0.764705882
MhCH,0.764705882
MhJK,1
M0,0.830508475
Mth,0.988700565
MtCH,0.988700565
MhCH,0.988700565
MhJK,1
M0,0.823529412
Mth,0.882352941
MtCH,0.882352941
MhCH,0.882352941
MhJK,0.941176471
M0,0.802547771
Mth,0.802547771
MtCH,0.802547771
MhCH,0.802547771
MhJK,1
M0,0.872403561
Mth,1
MtCH,0.997032641
MhCH,0.997032641
MhJK,1
M0,0.760869565
Mth,0.760869565
MtCH,0.760869565
MhCH,0.913043478
MhJK,0.913043478
M0,1
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.73006135
Mth,1
MtCH,0.751533742
MhCH,0.73006135
MhJK,1
M0,0.598290598
Mth,0.717948718
MtCH,0.897435897
MhCH,0.897435897
MhJK,1
M0,0.878228782
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.913043478
Mth,0.913043478
MtCH,0.913043478
MhCH,0.973913043
MhJK,1
M0,0.823529412
Mth,0.823529412
MtCH,0.875
MhCH,0.875
MhJK,1
M0,0.496453901
Mth,0.546099291
MtCH,0.794326241
MhCH,0.843971631
MhJK,1
M0,0.886877828
Mth,0.886877828
MtCH,0.886877828
MhCH,0.886877828
MhJK,1
M0,0.633744856
Mth,0.835390947
MtCH,0.835390947
MhCH,0.835390947
MhJK,1
M0,0.71627907
Mth,0.71627907
MtCH,0.71627907
MhCH,0.71627907
MhJK,1
M0,0.809248555
Mth,1
MtCH,0.849710983
MhCH,0.930635838
MhJK,1
M0,0.592307692
Mth,0.592307692
MtCH,0.592307692
MhCH,0.915384615
MhJK,1
M0,0.826771654
Mth,1
MtCH,0.826771654
MhCH,0.826771654
MhJK,1
M0,0.541935484
Mth,1
MtCH,0.406451613
MhCH,0.451612903
MhJK,0.993548387
M0,0.777777778
Mth,1
MtCH,0.861111111
MhCH,0.861111111
MhJK,0.944444444
M0,0.694214876
Mth,1
MtCH,0.694214876
MhCH,0.694214876
MhJK,1
M0,1
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.71686747
Mth,1
MtCH,0.822289157
MhCH,0.759036145
MhJK,0.948795181
M0,0.827956989
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.782608696
Mth,1
MtCH,0.782608696
MhCH,0.782608696
MhJK,1
M0,0.805755396
Mth,0.90647482
MtCH,0.90647482
MhCH,0.90647482
MhJK,1
M0,0.841772152
Mth,0.797468354
MtCH,0.841772152
MhCH,0.797468354
MhJK,1
M0,1
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.798543689
Mth,0.849514563
MtCH,0.849514563
MhCH,0.781553398
MhJK,1
M0,0.894444444
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.81595092
Mth,1
MtCH,0.880368098
MhCH,0.987730061
MhJK,1
M0,0.862676056
Mth,1
MtCH,0.887323944
MhCH,0.887323944
MhJK,1
M0,0.903225806
Mth,0.959677419
MtCH,0.790322581
MhCH,0.790322581
MhJK,1
M0,0.89261745
Mth,0.939597315
MtCH,0.939597315
MhCH,1
MhJK,1
M0,0.917241379
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.848484848
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.754491018
Mth,0.754491018
MtCH,0.754491018
MhCH,0.964071856
MhJK,1
M0,0.538461538
Mth,1
MtCH,0.538461538
MhCH,0.538461538
MhJK,1
M0,0.904059041
Mth,0.904059041
MtCH,0.904059041
MhCH,0.955719557
MhJK,0.981549815
M0,0.677419355
Mth,1
MtCH,0.677419355
MhCH,0.677419355
MhJK,1
M0,0.575949367
Mth,1
MtCH,0.620253165
MhCH,0.620253165
MhJK,1
M0,0.920415225
Mth,0.944636678
MtCH,0.944636678
MhCH,0.944636678
MhJK,1
M0,0.842592593
Mth,1
MtCH,0.842592593
MhCH,0.842592593
MhJK,1
M0,0.721212121
Mth,0.678787879
MtCH,0.721212121
MhCH,0.721212121
MhJK,1
M0,0.773255814
Mth,0.936046512
MtCH,1
MhCH,1
MhJK,1
M0,0.429824561
Mth,0.49122807
MtCH,0.49122807
MhCH,0.49122807
MhJK,1
M0,0.772870662
Mth,0.8170347
MtCH,0.750788644
MhCH,0.927444795
MhJK,1
M0,0.614503817
Mth,0.561068702
MtCH,0.854961832
MhCH,0.961832061
MhJK,1
M0,0.571895425
Mth,0.571895425
MtCH,0.869281046
MhCH,0.869281046
MhJK,1
M0,0.854237288
Mth,1
MtCH,0.830508475
MhCH,0.901694915
MhJK,1
M0,0.847133758
Mth,1
MtCH,0.921443737
MhCH,0.921443737
MhJK,1
M0,0.864801865
Mth,1
MtCH,1
MhCH,1
MhJK,1
M0,0.599537037
Mth,1
MtCH,0.599537037
MhCH,0.907407407
MhJK,1
M0,0.816414687
Mth,1
MtCH,0.816414687
MhCH,0.816414687
