project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
219-103-∂Ò¡˙π´÷˜°™ƒÊÀ˛∑¿≤‚ ‘_1463737972.csv,8.0,14.0,0.5714285714285714,13.0,103.0,0.1262135922330097,0.8737864077669903,0.690978886756238,0.690978886756238,78.0,-65.0,8.0,
220-798-≈©ø∆÷˙ ÷≤‚ ‘_1463737988.csv,10.0,99.0,0.10101010101010101,12.0,798.0,0.015037593984962405,0.9849624060150376,0.18322959647527798,0.18322959647527798,683.0,-671.0,10.0,
239-132-∫£µ∑Õ¯≤‚ ‘_1463738033.csv,10.0,18.0,0.5555555555555556,11.0,132.0,0.08333333333333333,0.9166666666666666,0.6918238993710691,0.6918238993710691,76.0,-65.0,10.0,
240-132-bug∫£µ∑Õ¯≤‚ ‘_1470654473.csv,10.0,18.0,0.5555555555555556,11.0,132.0,0.08333333333333333,0.9166666666666666,0.6918238993710691,0.6918238993710691,76.0,-65.0,10.0,
243-250-bugmalimalihome≤‚ ‘_1470654477.csv,10.0,31.0,0.3225806451612903,14.0,250.0,0.056,0.944,0.48084759576202124,0.48084759576202124,167.0,-153.0,10.0,
244-250-malimalihome≤‚ ‘_1463738030.csv,10.0,31.0,0.3225806451612903,14.0,250.0,0.056,0.944,0.48084759576202124,0.48084759576202124,167.0,-153.0,10.0,
249-222-æ¡–≈¥˚≤‚ ‘_1463738047.csv,21.0,27.0,0.7777777777777778,42.0,222.0,0.1891891891891892,0.8108108108108107,0.7939508506616256,0.7939508506616256,148.0,-106.0,23.0,20.0,
250-222-bugæ¡–≈¥˚≤‚ ‘_1470654468.csv,21.0,27.0,0.7777777777777778,42.0,222.0,0.1891891891891892,0.8108108108108107,0.7939508506616256,0.7939508506616256,148.0,-106.0,23.0,20.0,
257-133-bugø⁄¥¸π  ¬≤‚ ‘_1470654466.csv,19.0,19.0,1.0,133.0,133.0,1.0,0.0,0.0,0.0,96.0,37.0,29.0,17.0,15.0,
258-133-ø⁄¥¸π  ¬≤‚ ‘_1463738051.csv,19.0,19.0,1.0,133.0,133.0,1.0,0.0,0.0,0.0,96.0,37.0,29.0,17.0,15.0,
261-195-–°µ∂ª„≤‚ ‘_1463738056.csv,19.0,27.0,0.7037037037037037,59.0,195.0,0.30256410256410254,0.6974358974358974,0.7005557814829876,0.7005557814829876,155.0,-96.0,23.0,16.0,
261-195-–°µ∂ª„≤‚ ‘_1463738056.csv,19.0,27.0,0.7037037037037037,59.0,195.0,0.30256410256410254,0.6974358974358974,0.7005557814829876,0.7005557814829876,155.0,-96.0,23.0,16.0,
263-212-bugÿ¬∏‚≤‚ ‘_1470654464.csv,10.0,26.0,0.38461538461538464,21.0,212.0,0.09905660377358491,0.9009433962264151,0.5390911656788033,0.5390911656788033,161.0,-140.0,10.0,
263-212-bugÿ¬∏‚≤‚ ‘_1470654464.csv,10.0,26.0,0.38461538461538464,21.0,212.0,0.09905660377358491,0.9009433962264151,0.5390911656788033,0.5390911656788033,161.0,-140.0,10.0,
267-194-bug≥µ∞¢∏Á£®”√ªß∂À£©≤‚ ‘_1470654466.csv,23.0,27.0,0.8518518518518519,60.0,194.0,0.30927835051546393,0.6907216494845361,0.7628712871287128,0.7628712871287128,143.0,-83.0,27.0,20.0,
268-194-≥µ∞¢∏Á£®”√ªß∂À£©≤‚ ‘_1463738053.csv,23.0,27.0,0.8518518518518519,60.0,194.0,0.30927835051546393,0.6907216494845361,0.7628712871287128,0.7628712871287128,143.0,-83.0,27.0,20.0,
275-261-bugÃ‘∂˛ ÷≤‚ ‘_1470654455.csv,13.0,32.0,0.40625,32.0,261.0,0.12260536398467432,0.8773946360153256,0.5553586419177315,0.5553586419177315,227.0,-195.0,14.0,13.0,
276-261-Ã‘∂˛ ÷≤‚ ‘_1463738066.csv,13.0,32.0,0.40625,32.0,261.0,0.12260536398467432,0.8773946360153256,0.5553586419177315,0.5553586419177315,227.0,-195.0,14.0,13.0,
295-128-bug≥µµ‰APP≤‚ ‘_1470654436.csv,7.0,15.0,0.4666666666666667,13.0,128.0,0.1015625,0.8984375,0.6142693628386111,0.6142693628386111,104.0,-91.0,7.0,
296-128-≥µµ‰APP≤‚ ‘_1463738082.csv,7.0,15.0,0.4666666666666667,13.0,128.0,0.1015625,0.8984375,0.6142693628386111,0.6142693628386111,104.0,-91.0,7.0,
